Titel,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Personen,Externe Person,Startdatum,Schlussdatum,Externe Organisationen,Organisationseinheit,Externe Organisation,Veranstaltung
"""Disturbing Narratives in Economics: The Role of the Media regarding Notions on Wealth (Re-) Distribution""",Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Theine, Hendrik",,2025-08-27,2025-08-30,Wirtschaftsuniversität Wien,Socio-Ecological Transformation Lab (+1 weitere),,Communication and Capital(ism): ESA RN18 Mid-Term Conference
"""Disturbing Narratives in Economics: The Role of the Media regarding Notions on Wealth (Re-) Distribution""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Grisold, Andrea",2025-08-27,2025-08-30,Wirtschaftsuniversität Wien,Socio-Ecological Transformation Lab (+1 weitere),,Communication and Capital(ism): ESA RN18 Mid-Term Conference
"""Disturbing Narratives in Economics: The Role of the Media regarding Notions on Wealth (Re-) Distribution""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Stäudelmayr, Alexander",,2025-08-27,2025-08-30,Wirtschaftsuniversität Wien,Socio-Ecological Transformation Lab (+1 weitere),,Communication and Capital(ism): ESA RN18 Mid-Term Conference
Beyond Text-As-Data: Integrating Structural Topic Modelling and Critical Discourse Analysis for Contextualised Transitions Research,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Theine, Hendrik",,2025-06-25,2025-06-25,,Socio-Ecological Transformation Lab (+1 weitere),,International Sustainability Transitions (IST)
Beyond Text-As-Data: Integrating Structural Topic Modelling and Critical Discourse Analysis for Contextualised Transitions Research,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Verita, Carlotta",,2025-06-25,2025-06-25,,Socio-Ecological Transformation Lab (+1 weitere),,International Sustainability Transitions (IST)
Zeitschrift für Politikwissenschaft (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,,"Bohnenberger, Katharina",2023-01-01,2024-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,
Zeitschrift für Politikwissenschaft (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Theine, Hendrik",,2023-01-01,2024-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,
Zeitschrift für Politikwissenschaft (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,,"Fischer, Torben",2023-01-01,2024-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,
Zeitschrift für Politikwissenschaft (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,,"Finkeldey, Jasper",2023-01-01,2024-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,
European Journal of Communication (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,,"Sevignani, Sebastian",2024-01-01,2025-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,
European Journal of Communication (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Theine, Hendrik",,2024-01-01,2025-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,
International Journal of Communication (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,,"Sevignani, Sebastian",2024-01-01,2025-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,
International Journal of Communication (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Theine, Hendrik",,2024-01-01,2025-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,
"Mediated Discourses, Digital Capitalism, and the Struggle for Socio-Ecological Futures",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Theine, Hendrik",,2025-09-23,2025-09-23,,Socio-Ecological Transformation Lab (+1 weitere),,Pluralist Perspectives on Digital Technologies and Societal Transformation
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Aistleitner, Matthias",,2025-10-24,2025-10-24,,Socio-Ecological Transformation Lab (+1 weitere),,29th FMM Conference
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Hager, Theresa",,2025-10-24,2025-10-24,,Socio-Ecological Transformation Lab (+1 weitere),,29th FMM Conference
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Cserjan, Lukas",,2025-10-24,2025-10-24,,Socio-Ecological Transformation Lab (+1 weitere),,29th FMM Conference
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Scharnreitner, Franz",,2025-10-24,2025-10-24,,Socio-Ecological Transformation Lab (+1 weitere),,29th FMM Conference
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2025-10-24,2025-10-24,,Socio-Ecological Transformation Lab (+1 weitere),,29th FMM Conference
Beyond Text-As-Data: Integrating Structural Topic Modelling and Critical Discourse Analysis for Contextualized Transitions Research,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Theine, Hendrik",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+1 weitere),,European Association for Evolutionary Political Economy
Beyond Text-As-Data: Integrating Structural Topic Modelling and Critical Discourse Analysis for Contextualized Transitions Research,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Verita, Carlotta",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+1 weitere),,European Association for Evolutionary Political Economy
"Giving Back Wealth: Analysis of the Communication and Media Reception of the ""Good Council for Redistribution""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Gartiser, Moritz",2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+1 weitere),,European Association for Evolutionary Political Economy
"Giving Back Wealth: Analysis of the Communication and Media Reception of the ""Good Council for Redistribution""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Verita, Carlotta",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+1 weitere),,European Association for Evolutionary Political Economy
"Giving Back Wealth: Analysis of the Communication and Media Reception of the ""Good Council for Redistribution""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Theine, Hendrik",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+1 weitere),,European Association for Evolutionary Political Economy
"Giving Back Wealth: Analysis of the Communication and Media Reception of the ""Good Council for Redistribution",Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Gartiser, Moritz",2025-08-29,2025-08-29,,Socio-Ecological Transformation Lab (+1 weitere),,Communication and Capital(ism): ESA RN18 Mid-Term Conference
"Giving Back Wealth: Analysis of the Communication and Media Reception of the ""Good Council for Redistribution",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Theine, Hendrik",,2025-08-29,2025-08-29,,Socio-Ecological Transformation Lab (+1 weitere),,Communication and Capital(ism): ESA RN18 Mid-Term Conference
"Giving Back Wealth: Analysis of the Communication and Media Reception of the ""Good Council for Redistribution",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Verita, Carlotta",,2025-08-29,2025-08-29,,Socio-Ecological Transformation Lab (+1 weitere),,Communication and Capital(ism): ESA RN18 Mid-Term Conference
Media Capture and Authoritarian Media Policy: A Scoping Review of Right-Wing Strategies in the 21st Century,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Stäudelmayr, Alexander",,2025-08-30,2025-08-30,,Socio-Ecological Transformation Lab (+1 weitere),,Communication and Capital(ism): ESA RN18 Mid-Term Conference
Media Capture and Authoritarian Media Policy: A Scoping Review of Right-Wing Strategies in the 21st Century,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Verita, Carlotta",,2025-08-30,2025-08-30,,Socio-Ecological Transformation Lab (+1 weitere),,Communication and Capital(ism): ESA RN18 Mid-Term Conference
Media Capture and Authoritarian Media Policy: A Scoping Review of Right-Wing Strategies in the 21st Century,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Theine, Hendrik",,2025-08-30,2025-08-30,,Socio-Ecological Transformation Lab (+1 weitere),,Communication and Capital(ism): ESA RN18 Mid-Term Conference
"Giving back wealth: Analysis of the communication and media reception of the ""Good Council for Redistribution""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Theine, Hendrik",,2025-06-20,2025-06-20,,Socio-Ecological Transformation Lab (+1 weitere),,Union for Democratic Communication Conference
"Media Concentration Across Wireless, Online Advertising, and Online Search​. Findings from the US Team",Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Ali, Christopher",2025-01-01,2025-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,75th International Communication Association
"Media Concentration Across Wireless, Online Advertising, and Online Search​. Findings from the US Team",Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Forde, Sydney",2025-01-01,2025-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,75th International Communication Association
"Media Concentration Across Wireless, Online Advertising, and Online Search​. Findings from the US Team",Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Popiel, Pawel",2025-01-01,2025-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,75th International Communication Association
"Media Concentration Across Wireless, Online Advertising, and Online Search​. Findings from the US Team",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Theine, Hendrik",,2025-01-01,2025-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,75th International Communication Association
Discourse of Justice: Giving back wealth - Analysis of the communication and media reception of the good council for redistribution,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Theine, Hendrik",,2025-01-01,2025-01-01,,Socio-Ecological Transformation Lab (+1 weitere),,75th International Communication Association
The hydrogen fairytale - discursive coalitions in EU renewable energy policy,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Terhorst, Carlotta",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+1 weitere),,Annual Conference of the European Association of Evolutionary Political Economy
The hydrogen fairytale - discursive coalitions in EU renewable energy policy,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Verita, Carlotta",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+1 weitere),,Annual Conference of the European Association of Evolutionary Political Economy
The hydrogen fairytale - discursive coalitions in EU renewable energy policy,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+1 weitere),,Annual Conference of the European Association of Evolutionary Political Economy
Spaces of Contestation: Transgressing Policies and Practices of Eco-Social Transformation,,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Terhorst, Carlotta",,2025-09-18,2025-09-19,,Socio-Ecological Transformation Lab (+1 weitere),,Spaces of Contestation: Transgressing Policies and Practices of Eco-Social Transformation
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Aistleitner, Matthias",,2025-10-02,2025-10-02,,Socio-Ecological Transformation Lab (+1 weitere),,Young Economists Conference 2025
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Hager, Theresa",,2025-10-02,2025-10-02,,Socio-Ecological Transformation Lab (+1 weitere),,Young Economists Conference 2025
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Cserjan, Lukas",,2025-10-02,2025-10-02,,Socio-Ecological Transformation Lab (+1 weitere),,Young Economists Conference 2025
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Scharnreitner, Franz",,2025-10-02,2025-10-02,,Socio-Ecological Transformation Lab (+1 weitere),,Young Economists Conference 2025
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2025-10-02,2025-10-02,,Socio-Ecological Transformation Lab (+1 weitere),,Young Economists Conference 2025
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Aistleitner, Matthias",,2025-09-24,2025-09-24,,Socio-Ecological Transformation Lab (+1 weitere),,EAEPE Conference 2025
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Hager, Theresa",,2025-09-24,2025-09-24,,Socio-Ecological Transformation Lab (+1 weitere),,EAEPE Conference 2025
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Cserjan, Lukas",,2025-09-24,2025-09-24,,Socio-Ecological Transformation Lab (+1 weitere),,EAEPE Conference 2025
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Scharnreitner, Franz",,2025-09-24,2025-09-24,,Socio-Ecological Transformation Lab (+1 weitere),,EAEPE Conference 2025
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2025-09-24,2025-09-24,,Socio-Ecological Transformation Lab (+1 weitere),,EAEPE Conference 2025
YSI & EAEPE Pre-Conference for Young Scholars 2025: Pluralist Perspectives on Digital Technologies and Societal Transformation,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Rath, Johanna",,2025-09-23,2025-09-23,,Socio-Ecological Transformation Lab (+1 weitere),,YSI & EAEPE Pre-Conference for Young Scholars 2025: Pluralist Perspectives on Digital Technologies and Societal Transformation
YSI & EAEPE Pre-Conference for Young Scholars 2025: Pluralist Perspectives on Digital Technologies and Societal Transformation,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hornykewycz, Anna",,2025-09-23,2025-09-23,,Socio-Ecological Transformation Lab (+1 weitere),,YSI & EAEPE Pre-Conference for Young Scholars 2025: Pluralist Perspectives on Digital Technologies and Societal Transformation
YSI & EAEPE Pre-Conference for Young Scholars 2025: Pluralist Perspectives on Digital Technologies and Societal Transformation,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Burnazoglu, Merve",2025-09-23,2025-09-23,,Socio-Ecological Transformation Lab (+1 weitere),,YSI & EAEPE Pre-Conference for Young Scholars 2025: Pluralist Perspectives on Digital Technologies and Societal Transformation
Netzwerke der Macht und Superreichtum in Österreich,Science-to-public,Vortrag oder Präsentation,Keynote Speaker,"Pühringer, Stephan",,2025-10-09,2025-10-09,,Socio-Ecological Transformation Lab (+2 weitere),,Netzwerke der Macht und Superreichtum in Österreich
Zentrale Herausforderungen des deutschen New Economy Ökosystems,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Bäuerle, Lukas",,2025-10-07,2025-10-07,,Socio-Ecological Transformation Lab (+1 weitere),,Strategy Platform New Economy Space Deutschland
Socio-Ecological Transformation: Still a blindspot in Economics,Science-to-science,Vortrag oder Präsentation,Keynote Speaker,"Pühringer, Stephan",,2025-10-03,2025-10-03,,Socio-Ecological Transformation Lab (+2 weitere),,Young Economists Conference 2025
"Session Research Area K ""Gender Economics and Social Identity"" @36th Annual Conference of European Association for Ecolutionary Political Economy (EAEPE)",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Hager, Theresa",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+1 weitere),,"Session Research Area K ""Gender Economics and Social Identity"" @36th Annual Conference of European Association for Ecolutionary Political Economy (EAEPE)"
"Special Session ""Global and National Studies of Socio-Ecological Transformation"" @36th Annual Conference of the European Association of Evolutionary Political Economy (EAEPE)",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Hager, Theresa",,2025-09-24,2025-09-24,,Socio-Ecological Transformation Lab (+1 weitere),,"Special Session ""Global and National Studies of Socio-Ecological Transformation"" @36th Annual Conference of the European Association of Evolutionary Political Economy (EAEPE)"
"Special Session ""Global and National Studies of Socio-Ecological Transformation"" @36th Annual Conference of the European Association of Evolutionary Political Economy (EAEPE)",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hornykewycz, Anna",,2025-09-24,2025-09-24,,Socio-Ecological Transformation Lab (+1 weitere),,"Special Session ""Global and National Studies of Socio-Ecological Transformation"" @36th Annual Conference of the European Association of Evolutionary Political Economy (EAEPE)"
"Special Session ""Global and National Studies of Socio-Ecological Transformation"" @36th Annual Conference of the European Association of Evolutionary Political Economy (EAEPE)",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Cserjan, Lukas",,2025-09-24,2025-09-24,,Socio-Ecological Transformation Lab (+1 weitere),,"Special Session ""Global and National Studies of Socio-Ecological Transformation"" @36th Annual Conference of the European Association of Evolutionary Political Economy (EAEPE)"
"Special Session ""Global and National Studies of Socio-Ecological Transformation"" @36th Annual Conference of the European Association of Evolutionary Political Economy (EAEPE)",,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Hager, Theresa",,2025-09-24,2025-09-24,,Socio-Ecological Transformation Lab (+1 weitere),,"Special Session ""Global and National Studies of Socio-Ecological Transformation"" @36th Annual Conference of the European Association of Evolutionary Political Economy (EAEPE)"
Gendered Competitive Practices in Economics: A Multi-Layer Model of Women's Underepresentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+2 weitere),,EAEPE Conference 2025
Gendered Competitive Practices in Economics: A Multi-Layer Model of Women's Underepresentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+2 weitere),,EAEPE Conference 2025
The plurality of economics behind socio-ecological transformations,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+2 weitere),,EAEPE Conference 2025
The plurality of economics behind socio-ecological transformations,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Bäuerle, Lukas",,2025-09-25,2025-09-25,,Socio-Ecological Transformation Lab (+2 weitere),,EAEPE Conference 2025
The social and epistemic structure of research on Socio-ecological Transformation. Challenging the economic mainstream?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Aigner, Ernest",2025-09-24,2025-09-24,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE Conference 2025
The social and epistemic structure of research on Socio-ecological Transformation. Challenging the economic mainstream?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Pühringer, Stephan",2025-09-24,2025-09-24,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE Conference 2025
The social and epistemic structure of research on Socio-ecological Transformation. Challenging the economic mainstream?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2025-09-24,2025-09-24,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE Conference 2025
Producing the mobility transition: Opportunities and challenges for the Austrian railway supply industry from a global production network perspective,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2025-09-26,2025-09-26,,Socio-Ecological Transformation Lab (+1 weitere),,EAEPE Conference 2025
"Kommentar ""Industriepolitik für die Mobilitätswende""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2025-09-11,2025-09-11,,Socio-Ecological Transformation Lab (+1 weitere),,"Jahrestagung des Fachbereich ""Finanzwissenschaft und Infrastrukturplanung"" (IFIP) des Institut für Raumplanung der TU Wien"
Umkämpfte Mobilitätswende,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2025-08-12,2025-08-12,,Socio-Ecological Transformation Lab (+1 weitere),,Marxistische Studienwoche 2025
Tracing the EU’s quest for green hydrogen in Chile,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2025-06-03,2025-06-03,,Socio-Ecological Transformation Lab (+1 weitere),,Kongress des Consejo Europeo de Investigación en Ciencias Sociales de América Latina (CEISAL) 2025
Das globale Produktionsnetzwerk der österreichischen Bahnindustrie,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2025-05-06,2025-05-06,,Socio-Ecological Transformation Lab (+1 weitere),,
Das globale Produktionsnetzwerk der österreichischen Bahnindustrie,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2025-05-06,2025-05-06,,Socio-Ecological Transformation Lab (+1 weitere),,
"Industriepolitik im Zeitalter von globalen Warenketten“ im Rahmen der VU „Globale Warenketten""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2025-04-02,2025-04-02,,Socio-Ecological Transformation Lab (+1 weitere),,
Review of Evolutionary Political Economy (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gastherausgeber*in,,"Burnazoglu, Merve",2023-12-01,2025-04-01,,Socio-Ecological Transformation Lab (+2 weitere),,
Review of Evolutionary Political Economy (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gastherausgeber*in,"Rath, Johanna",,2023-12-01,2025-04-01,,Socio-Ecological Transformation Lab (+2 weitere),,
Review of Evolutionary Political Economy (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gastherausgeber*in,"Hornykewycz, Anna",,2023-12-01,2025-04-01,,Socio-Ecological Transformation Lab (+2 weitere),,
Journal of Institutional Economics (JOIE) (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Hornykewycz, Anna",,2025-04-30,2025-05-23,,Socio-Ecological Transformation Lab (+1 weitere),,
Gestalte das perfekte Wirtschaftssystem,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2025-07-30,2025-07-30,,Socio-Ecological Transformation Lab (+1 weitere),,JKU Science Holidays
Gestalte das perfekte Wirtschaftssystem,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Terhorst, Carlotta",,2025-07-30,2025-07-30,,Socio-Ecological Transformation Lab (+1 weitere),,JKU Science Holidays
Gestalte das perfekte Wirtschaftssystem,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2025-08-07,2025-08-07,,Socio-Ecological Transformation Lab (+1 weitere),,JKU Science Holidays
Gestalte das perfekte Wirtschaftssystem,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Terhorst, Carlotta",,2025-08-07,2025-08-07,,Socio-Ecological Transformation Lab (+1 weitere),,JKU Science Holidays
Gestalte das perfekte Wirtschaftssystem,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Terhorst, Carlotta",,2025-07-17,2025-07-17,,Socio-Ecological Transformation Lab (+1 weitere),,JKU Science Holidays
Gestalte das perfekte Wirtschaftssystem,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2025-07-17,2025-07-17,,Socio-Ecological Transformation Lab (+1 weitere),,JKU Science Holidays
Die Bedeutung der Freiheit: Eine philosophische Perspektive auf die Grenzen des Wachstums&nbsp;,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Terhorst, Carlotta",,2025-04-04,2025-04-04,,Socio-Ecological Transformation Lab (+1 weitere),,"Who is in charge here?Konzeptionen von Natur, Kultur & Agency angesichts der ökologischen Krise"
"Wie soll Reichtum verteilt werden, auf welcher Insel willst du leben?",Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2025-07-23,2025-07-23,,Socio-Ecological Transformation Lab (+2 weitere),,Science Holidays 2025
Ungleichheiten in der grünen Transformation: Die vernachlässigte Rolle von kollektiven Infrastrukturen und Institutionen,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Terhorst, Carlotta",,2025-07-01,2025-07-01,,Socio-Ecological Transformation Lab (+1 weitere),,Transformationssoziologie konkret
Discursive Coalitions in EU Renewable Energy Politics: Building the Hydrogen Fairytale,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Porak, Laura",,2025-06-25,2025-06-25,,Socio-Ecological Transformation Lab (+1 weitere),,IST Conference 2025
Discursive Coalitions in EU Renewable Energy Politics: Building the Hydrogen Fairytale,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Verita, Carlotta",,2025-06-25,2025-06-25,,Socio-Ecological Transformation Lab (+1 weitere),,IST Conference 2025
Discursive Coalitions in EU Renewable Energy Politics: Building the Hydrogen Fairytale,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Terhorst, Carlotta",,2025-06-25,2025-06-25,,Socio-Ecological Transformation Lab (+1 weitere),,IST Conference 2025
Early Career Writing & Research Skills Workshop in the Energy Justice Space,,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Terhorst, Carlotta",,2025-04-09,2025-04-11,,Socio-Ecological Transformation Lab (+1 weitere),,Early Career Writing & Research Skills Workshop in the Energy Justice Space
"Moderation of Keynote given by Prof. Erin Cech: ""Who’s Afraid of DEI? How the Moral Commandments of Work Anchor Opposition to Workplace Equity Efforts"" @ SASE's 37th Annual Conference 2025",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Hager, Theresa",,2025-07-11,2025-07-11,,Socio-Ecological Transformation Lab (+1 weitere),,"Moderation of Keynote given by Prof. Erin Cech: ""Who’s Afraid of DEI? How the Moral Commandments of Work Anchor Opposition to Workplace Equity Efforts"" @ SASE's 37th Annual Conference 2025"
Organization of the Open Assembly of the Women and Gender+ Forum @ SASE's 37th Annual Conference 2025,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hager, Theresa",,2025-07-10,2025-07-10,,Socio-Ecological Transformation Lab (+1 weitere),,Organization of the Open Assembly of the Women and Gender+ Forum @ SASE's 37th Annual Conference 2025
Political Economy of Knowledge Production in Capitalist Academia: Challenges for Socio-Ecological Transformation,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Altreiter, Carina",,2025-07-10,2025-07-10,,Socio-Ecological Transformation Lab (+2 weitere),,SASE'S 37th Annual Conference
Political Economy of Knowledge Production in Capitalist Academia: Challenges for Socio-Ecological Transformation,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Pühringer, Stephan",,2025-07-10,2025-07-10,,Socio-Ecological Transformation Lab (+2 weitere),,SASE'S 37th Annual Conference
Political Economy of Knowledge Production in Capitalist Academia: Challenges for Socio-Ecological Transformation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2025-07-10,2025-07-10,,Socio-Ecological Transformation Lab (+2 weitere),,SASE'S 37th Annual Conference
Competing to Belong: Gendered Competitive Practices and the Persistent Underrepresentation of Women in Economics,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Pühringer, Stephan",,2025-07-09,2025-07-09,,Socio-Ecological Transformation Lab (+2 weitere),,SASE'S 37th Annual Conference
Competing to Belong: Gendered Competitive Practices and the Persistent Underrepresentation of Women in Economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2025-07-09,2025-07-09,,Socio-Ecological Transformation Lab (+2 weitere),,SASE'S 37th Annual Conference
