title,date,type,id,person,citation,invited-by,original-title,place
Liberalismus und Neoliberalismus,15.10.2011,Hauptvortrag / Eingeladener Vortrag auf einer Tagung,8843,Nordmann J.,", Österreich, 15.10.2011",,,Volkshochschule Linz Linz
Der Markt-Begriff im Neoliberalismus,30.11.2010,Hauptvortrag / Eingeladener Vortrag auf einer Tagung,8845,Ötsch W.,", Österreich, 30.11.2010",Prof. Reisinger,,Katholisch-Theologische Privatuniversität Linz
Institutional Evolutionary Economics: Introduction,03.12.2024,Eingeladener Vortrag an Universität,41796,Rath J.,", Österreich, 03.12.2024",Plurale Ökonomik Innsbruck,LV VU Exploring Economics (Universität Innsbruck),Universität Innsbruck
Sozial-ökologische Transformation braucht eine andere Wirtschaft,12.11.2024,Eingeladener Vortrag an Universität,41774,Pühringer S.,", Österreich, 12.11.2024","FH Oberösterreich, Campus Wels",,
The climate crisis portrayal in Austrian media:  A Cross-Paradigm approach combining structural topic modelling and critical discourse analysis,15.10.2024,Eingeladener Vortrag an Universität,41643,Theine H.,", Österreich, 15.10.2024","Research Seminar, ICAE",,
Pluralism in Economics,01.10.2024,Eingeladener Vortrag an Universität,42367,Kapeller J.,", Deutschland, 01.10.2024",,,Universität Köln
Pluralism in economics and the split between heterodoxy and orthodoxy,17.09.2024,Eingeladener Vortrag an Universität,42372,Kapeller J.,", Uganda, 17.09.2024",,SummerSchool „Wealth Inequality Research in  Africa“,"Makerere University, Kampala"
Orthodox vs. Heterodox understandings of wealth dynamics,16.09.2024,Eingeladener Vortrag an Universität,42370,Kapeller J.,", Uganda, 16.09.2024",,SummerSchool „Wealth Inequality Research in  Africa“,"Makerere University, Kampala"
Woher kommt Schokolade und wer macht eigentlich mein Handy?,22.07.2024,Eingeladener Vortrag an Universität,41787,Porak L.,", Österreich, 22.07.2024","JKU, Linz",,ScienceHolidays Workshop
The European green transition and the role of industrial policy,21.05.2024,Eingeladener Vortrag an Universität,41779,Porak L.,", Österreich, 21.05.2024",Selbstorganisierte Ringvorlesung WU,,
Netzwerke von Überreichtum in Österreich,11.04.2024,Eingeladener Vortrag an Universität,41792,Pühringer S.,", Österreich, 11.04.2024","Wirtschaftspolitische Akademie, WU Wien",,WU Wien
Welche Universität braucht gute Wissenschaft?,26.02.2024,Eingeladener Vortrag an Universität,40320,Pühringer S.,", Österreich, 26.02.2024",Vernetzungstreffen ULV und NUWiss an der TU Graz,,
How capitalist academia needs to change to assist structured socio-ecological transformation,23.02.2024,Eingeladener Vortrag an Universität,40318,"Altreiter C., Pühringer S.",", Deutschland, 23.02.2024","Gender, Work and Organization Workshops Resisting Business-as-Usual: Organizing for Hope and Justice",,
Pluralism in Economics,01.02.2024,Eingeladener Vortrag an Universität,40150,Kapeller J.,", Schweiz, 01.02.2024",Universität Zürich,,Zürich
Agentenbasiertes Modellieren und Komplexitätsökonomik,24.01.2024,Eingeladener Vortrag an Universität,40321,Gräbner-Radkowitsch C.,", Deutschland, 24.01.2024",Universität Siegen,,
Pluralismus und Komplexität: Ein Gegenentwurf zur neoklassischen Gleichgewichtsökonomik?,19.01.2024,Eingeladener Vortrag an Universität,40322,Gräbner-Radkowitsch C.,", Deutschland, 19.01.2024",Universität Hamburg,,
"Bodendaten und Bodenpolitik im Agrarbereich: Bodendaten (Reichsbodenschätzung), Bodennutzungsdaten (INVEKOS; BMEL und Testbetriebsnetz) sowie Bodenbelastung (BMVU)",13.12.2023,Eingeladener Vortrag an Universität,40325,Hirte K.,", Deutschland, 13.12.2023",Universität Passau,,
Pluralismus in der Ökonomik,13.12.2023,Eingeladener Vortrag an Universität,40324,Kapeller J.,", Deutschland, 13.12.2023",Universität Köln,,
Wissensproduktion und Publikationskulturen in der “Wettbewerbswissenschaft”,30.11.2023,Eingeladener Vortrag an Universität,40326,Pühringer S.,", Deutschland, 30.11.2023","Universität Jena, Thüringer Universitäts- und Landesbibliothek",Konferenz Wissenschaftliche Publikationskulturen im Zeitalter von Open Access,
A world full of nails: Über die eigenwillige (Nicht-)Thematisierung Sozial-Ökologischer Transformation in den Wirtschaftswissenschaften,21.11.2023,Eingeladener Vortrag an Universität,40327,Aistleitner M.,", Deutschland, 21.11.2023","Universität Linz, Entwicklungspolitische Hochschulwochen Linz 2023",,
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,23.09.2023,Eingeladener Vortrag an Universität,40330,Pühringer S.,", Österreich, 23.09.2023","Universität Wien, Präsidiumssitzung des Universitätslehrerverbandes ULV",,
Pluralismus in der Ökonomik,09.09.2023,Eingeladener Vortrag an Universität,40329,Kapeller J.,", Schweiz, 09.09.2023",Universität Zürich,,
Agrarische sozio-ökonomische Transformation und Transformationswissen,04.07.2023,Eingeladener Vortrag an Universität,40334,Hirte K.,", Deutschland, 04.07.2023","Universität Passau, Bereich Soziologie mit Schwerpunkt Techniksoziologie und nachhaltige Entwicklung",,Passau
"Zur aktuellen agrarischen Transformationsforschung – Profile, Zugänge, Kernauffassungen",21.06.2023,Eingeladener Vortrag an Universität,40335,Hirte K.,", Deutschland, 21.06.2023","Universität Passau, Bereich Soziologie mit Schwerpunkt Techniksoziologie und nachhaltige Entwicklung",,Passau
Elitetheorien und Demokratieverständnis. Auffassungen und Vorgänge vor und nach 1945,18.04.2023,Eingeladener Vortrag an Universität,37666,Hirte K.,", Deutschland, 18.04.2023","Universität Passau, Bereich Soziologie mit Schwerpunkt Techniksoziologie und nachhaltige Entwicklung",,Passau
Agentenbasierte Modelle & Komplexitätsökonomik,26.01.2023,Eingeladener Vortrag an Universität,37628,Gräbner-Radkowitsch C.,", Deutschland, 26.01.2023",Universität Siegen,,
Agentenbasierte Modellierung und Komplexitätsökonomik,23.01.2023,Eingeladener Vortrag an Universität,40340,Gräbner-Radkowitsch C.,", Deutschland, 23.01.2023",Universität Siegen,,
Konsequenzen der Wettbewerbsorientierung von und an Universitäten. Eine Perspektive der interdisziplinären Wettbewerbsforschung,12.01.2023,Eingeladener Vortrag an Universität,37627,Pühringer S.,", Österreich, 12.01.2023",Universtität Wien,,
Die deutsche universitäre Agrarsoziologie als Wissenschaftsdisziplin,06.12.2022,Eingeladener Vortrag an Universität,37601,Hirte K.,", Deutschland, 06.12.2022","Universität Passau, Bereich Soziologie mit Schwerpunkt Techniksoziologie und nachhaltige Entwicklung",,
Komplexitätsökonomik,17.11.2022,Eingeladener Vortrag an Universität,37603,Gräbner-Radkowitsch C.,", Deutschland, 17.11.2022",Zeppelin Universität Friedrichshafen,,
Kompexitätsökonomik,03.11.2022,Eingeladener Vortrag an Universität,37605,Gräbner-Radkowitsch C.,", Deutschland, 03.11.2022",FU Berlin,,
Verschweigen als gewolltes Nichtwissen in der Wissenschaft: Strategien in Umbruchzeiten,26.10.2022,Eingeladener Vortrag an Universität,37606,Hirte K.,", Deutschland, 26.10.2022",Universität Passau,,
Pluralismus in der Ökonomie: Philosophische Perspektiven,25.10.2022,Eingeladener Vortrag an Universität,37662,Kapeller J.,", Deutschland, 25.10.2022",Universität Bochum,,
Was ist plurale Ökonomik?,19.10.2022,Eingeladener Vortrag an Universität,37607,Gräbner-Radkowitsch C.,", Deutschland, 19.10.2022",Universität Kiel,,
Performativity: Vom Entstehen von agrarischen Verarbeitungsstrukturen am Beispiel Schlachthöfe,15.06.2022,Eingeladener Vortrag an Universität,37618,Hirte K.,", Österreich, 15.06.2022",Universität Passau,,
Agrarpolitik und Agrarökonomie,14.06.2022,Eingeladener Vortrag an Universität,37619,Hirte K.,", Österreich, 14.06.2022","Universität Passau, Bereich Soziologie mit Schwerpunkt Techniksoziologie und nachhaltige Entwicklung",,
Pluralismus in der Ökonomie: Philosophische Perspektiven,09.06.2022,Eingeladener Vortrag an Universität,37664,Kapeller J.,", Deutschland, 09.06.2022",Research seminar of the Departmant of Philosophy at University of Duisburg-Essen,,
Konzernmacht in globalen Güterketten,03.05.2022,Eingeladener Vortrag an Universität,35268,Kapeller J.,", Österreich, 03.05.2022",Johannes Kepler Universität Linz,,
Liegt die Wahrheit irgendwo dazwischen? Eine plurale Perspektive auf globale Ungleichheit,02.05.2022,Eingeladener Vortrag an Universität,37622,Gräbner-Radkowitsch C.,", Deutschland, 02.05.2022",Universität Tübingen,,
Machtstrukturen in der Ökonomie und der performative Einfluss auf Politik und Gesellschaft,01.03.2022,Eingeladener Vortrag an Universität,37624,Pühringer S.,", Deutschland, 01.03.2022",Universtität Kiel,,online
Pluralism in economics (& the role of heterodoxy),07.02.2022,Eingeladener Vortrag an Universität,35269,Kapeller J.,", Vereinigtes Königreich, 07.02.2022",University of Durham,,
Komplexitätsökonomik – eine Einführung,03.12.2021,Eingeladener Vortrag an Universität,34386,Gräbner-Radkowitsch C.,", Deutschland, 03.12.2021",Freie Universität Berlin,,
Handelsnarrative in der ökonomischen Debatte,30.11.2021,Eingeladener Vortrag an Universität,33623,Pühringer S.,", Österreich, 30.11.2021",Entwicklungspolitische Hochschulwochen,Entwicklungspolitische Hochschulwochen,"PH OÖ, Linz (virtuell)"
Reforming the EU’s fiscal rules: Output gap estimates and fiscal policy in Belgium and beyond,26.11.2021,Eingeladener Vortrag an Universität,34389,Heimberger P.,", Österreich, 26.11.2021",Joint Vienna Institute,,
Komplexitätsökonomik – Alternative zur Gleichgewichtsökonomik?,17.11.2021,Eingeladener Vortrag an Universität,34391,Gräbner-Radkowitsch C.,", Deutschland, 17.11.2021",Zeppelin Universität,,
The micro-macro link in heterodox economics,17.11.2021,Eingeladener Vortrag an Universität,35270,Kapeller J.,", Deutschland, 17.11.2021",University of Tübingen,,Tübingen
Kulturelle Wachstumskritik,02.11.2021,Eingeladener Vortrag an Universität,34393,Porak L.,", Deutschland, 02.11.2021",Universität Kiel,,
Social Limits to Growth,10.06.2021,Eingeladener Vortrag an Universität,33678,Porak L.,", Deutschland, 10.06.2021",,,Universität Lüneburg
Warum braucht es Pluralismus in den Wirtschaftswissenschaften?,09.06.2021,Eingeladener Vortrag an Universität,33679,"Gräbner-Radkowitsch C., Strunk B.",", Österreich, 09.06.2021",,,Universität Wien
Plurale volkswirtschaftliche Ideengeschichte,29.04.2021,Eingeladener Vortrag an Universität,34419,Hirte K.,", Deutschland, 29.04.2021",Universität Lüneburg,,
Plurale ökonomische Ideengeschichte,29.04.2021,Eingeladener Vortrag an Universität,26728,Hirte K.,", Österreich, 29.04.2021",,Initiative „Mehr ökonomische Vielfalt erreichen“,online (geplant in DEU)
Wissenschaftstheoretische Ansätze in den WiWi und ihre Auswirkungen auf gesellschaftliche Prozesse (Teil 2),28.04.2021,Eingeladener Vortrag an Universität,33919,Aistleitner M.,", Österreich, 28.04.2021",18. SOLV an der WU Wien,Wissensproduktion: Unis als Wissensfabriken und ihre Rolle in der Gesellschaft,
Pandemic pushes polarization: Macroeconomic divergence in the Eurozone,23.04.2021,Eingeladener Vortrag an Universität,33681,Kapeller J.,", Österreich, 23.04.2021",Käte Hamburger Kolleg,,online (geplant in DEU)
Wissenschaftstheoretische Ansätze in den WiWi und ihre Auswirkungen auf gesellschaftliche Prozesse (Teil 1),20.04.2021,Eingeladener Vortrag an Universität,33918,Aistleitner M.,", Österreich, 20.04.2021",18. SOLV an der WU Wien,Wissensproduktion: Unis als Wissensfabriken und ihre Rolle in der Gesellschaft,
Finanzialisierung und globale Ungleichheit,18.12.2020,Eingeladener Vortrag an Universität,33683,Kapeller J.,", Österreich, 18.12.2020",,,Universität Wien
Pluralismus in der Ökonomik - Wissenschaftstheoretische Hintergründe,15.12.2020,Eingeladener Vortrag an Universität,31833,Gräbner-Radkowitsch C.,", Deutschland, 15.12.2020",Rethinking Economics Tübingen,,
Was ist heterodoxe Ökonomie?,19.03.2020,Eingeladener Vortrag an Universität,31387,Kapeller J.,", Österreich, 19.03.2020",Universität Wien,"Selbst-Organisierte Lehrveranstaltung: ""Alternative Wirtschaftstheorien - Heterodoxe Ökonomie""",Wien
Die Spaltung als Modell: Europas Zerfall als Krise der Wirtschaftstheorie,04.07.2018,Eingeladener Vortrag an Universität,25826,Kapeller J.,", Deutschland, 04.07.2018",Universität Tübingen,Ringvorlesung 10 Years After the Crash,Tübingen
Performativität und Ökonomik,21.06.2018,Eingeladener Vortrag an Universität,27515,Hirte K.,", Deutschland, 21.06.2018",Universität Jena,,
Vergessen – Verkennen – Vermeiden: Das Problem Andersdenkende in den Wissenschaften,20.06.2018,Eingeladener Vortrag an Universität,25818,Hirte K.,", Deutschland, 20.06.2018",Universität Jena,,
Modellierung von Fiskalpolitik: Theorie und Empirie anhand von aktuellen Debatten,09.05.2018,Eingeladener Vortrag an Universität,25914,Heimberger P.,", Österreich, 09.05.2018",,SOLV XII – Debatten der Ökonomie,WU Wien
Geld - Eine post-keynesianische Perspektive,18.04.2018,Eingeladener Vortrag an Universität,25324,Schütz B.,", Österreich, 18.04.2018",VW-Zentrum für Studierende,,WU Wien
Ökonomische Diskurse: Historische und philosophische Perspektiven,11.04.2018,Eingeladener Vortrag an Universität,25827,Kapeller J.,", Österreich, 11.04.2018",WU Wien,Einführung zu SOLVXII - Debatten in der Ökonomie,Wien
Wie denken zukünftige Ökonom_innen?,20.03.2018,Eingeladener Vortrag an Universität,25772,Pühringer S.,", Deutschland, 20.03.2018",Universität Mannheim; Plurale Ökonomik,Diskussionsveranstaltung zur Zukunft der deutschen Ökonomik,"Mannheim, Universität"
Wissenschaftstheorie und Ökonomie,20.12.2017,Eingeladener Vortrag an Universität,24149,Kapeller J.,", Deutschland, 20.12.2017",Universität Tübingen,"Ringvorlesung ""Frontiers of Economics – Die Wirtschaftswissenschaft zwischen Krise und Aufbruch""","Universität Tübingen, DE"
Economists' Narratives and Metaphors of the Financial Crisis,30.11.2017,Eingeladener Vortrag an Universität,23977,Pühringer S.,", Österreich, 30.11.2017",Universität Wien,,
"Institutionenökonomik, Komplexitätsökonomik und Pluralismus",28.11.2017,Eingeladener Vortrag an Universität,23984,Gräbner-Radkowitsch C.,", Deutschland, 28.11.2017",Kritische Wirtschaftswissenschaftler FU Berlin,"Ringvorlesung ""Denkschulen und aktuelle Kontroversen der Ökonomik""",Freie Universität Berlin
Ordoliberalismus als politisches Gestaltungswissen:  ein deutscher Sonderweg,27.10.2017,Eingeladener Vortrag an Universität,23978,Pühringer S.,", Deutschland, 27.10.2017",Universität Jena,Bedingungen und politische Funktionen exakter Wissenschaften,Uni Jena
Profil der deutschsprachigen Volkswirtschaftslehre im internationalen Vergleich,29.06.2017,Eingeladener Vortrag an Universität,23983,Pühringer S.,", Deutschland, 29.06.2017",Universität Hamburg,Heimann-Colloquiums an der Universität Hamburg,Universität Hamburg
Komplexitätsökonomik,12.06.2017,Eingeladener Vortrag an Universität,23989,Gräbner-Radkowitsch C.,", Deutschland, 12.06.2017",,"Ringvorlesung ""Ökonomische Denkschulen und Grundlagen der Wissenschaftstheorie""",Ruhr Universität Bochum
Wissenschaftstheorie und Ökonomie,08.05.2017,Eingeladener Vortrag an Universität,23222,Kapeller J.,", Deutschland, 08.05.2017",,,Universität Bochum
Verteilungstendenzen im globalen Kapitalismus. Eine plurale Perspektive.,04.05.2017,Eingeladener Vortrag an Universität,23223,Kapeller J.,", Deutschland, 04.05.2017",,,
Economics and Philosophy: Models and Pluralism,27.04.2017,Eingeladener Vortrag an Universität,23224,Kapeller J.,", Deutschland, 27.04.2017",,,
Paradigm lost? Herausforderungen der Ökonomik nach der Krise,26.04.2017,Eingeladener Vortrag an Universität,23226,Kapeller J.,", Deutschland, 26.04.2017",,,
Diskursive und politische Wirkmächtigkeit ökonomischen Denkens,17.01.2017,Eingeladener Vortrag an Universität,22024,Pühringer S.,", Österreich, 17.01.2017","Institut für Institutionelle und Heterodoxe Ökonomie, WU Wien",,WU Wien
Was ist heterodoxe Ökonomie?,15.12.2016,Eingeladener Vortrag an Universität,21816,Kapeller J.,", Österreich, 15.12.2016",,,Universität Innsbruck
"The complexity challenge: Systemist thinking, computational modeling, and pluralism in economics",12.12.2016,Eingeladener Vortrag an Universität,23991,Gräbner-Radkowitsch C.,", Deutschland, 12.12.2016",,Verleihung des WIWA Nachwuchspreises für Plurale Ökonomik,Universität Witten-Herdecke
Eine Einführung in die Institutionenökonomik(en),21.11.2016,Eingeladener Vortrag an Universität,23992,Gräbner-Radkowitsch C.,", Deutschland, 21.11.2016",,"Ringvorlesung ""Denkschulen und aktuelle Kontroversen der Ökonomik""",Freie Universität Berlin
Die Spaltung als Modell: Europas Zerfall als Krise der Wirtschaftstheorie,10.11.2016,Eingeladener Vortrag an Universität,21819,Kapeller J.,", Deutschland, 10.11.2016",,,"Leipzig, DE"
Pluralismus in der Ökonomik? Zur Frage von Machtverhältnissen und Homogenität in der deutschsprachigen Ökonomik.,07.11.2016,Eingeladener Vortrag an Universität,25135,Grimm C.,", Deutschland, 07.11.2016",Kritische Wirtschaftswissenschaften Göttingen,,Göttingen
Pluralismus in der Ökonomie? Wissenschaftstheoretische Grundlagen und wissenschaftspolitische Konsequenzen,26.10.2016,Eingeladener Vortrag an Universität,21306,Pühringer S.,", Österreich, 26.10.2016",Universität Tübingen,"Ringvorlesung ""Rethinking Economics""",Tübingen
Workshop Verteilung und Gerechtigkeit: Ökonomische und politphilosophische Perspektiven,07.09.2016,Eingeladener Vortrag an Universität,21299,Pühringer S.,", Deutschland, 07.09.2016",Cusanus Hochschule Bernkastel,Herbstakademie der Cusanus Hochschule,Cusanus Hochschule
The role of democracy in the history of liberal (economic) thought,01.08.2016,Eingeladener Vortrag an Universität,21298,Pühringer S.,", Österreich, 01.08.2016",,Summerschool Alternative Economic and Monetary Systems,BOKU Wien
Diskursive und politische Wirkmächtigkeit ökonomischen Denkens,21.06.2016,Eingeladener Vortrag an Universität,21294,Pühringer S.,", Österreich, 21.06.2016",Universität Wien,"Ringvorlesung „Theorie, Modell, Wirklichkeit“ an der Universität Wien",Universität Wien
Ökonomisches Denken in der Krise?,23.05.2016,Eingeladener Vortrag an Universität,21290,Pühringer S.,", Österreich, 23.05.2016","Ksoe und Institut für Institutionelle und Heterodoxe Ökonomie, WU Wien","Wirtschaft, menschengerecht gedacht?",WU Wien
Spezifische Aspekte ökonomischen Modelldenkens,26.04.2016,Eingeladener Vortrag an Universität,20359,Kapeller J.,", Österreich, 26.04.2016",,,Universität Wien
The social philosophy of globalized markets,07.04.2016,Eingeladener Vortrag an Universität,20361,Kapeller J.,", Österreich, 07.04.2016",,,Universität Graz
Krisen als Krankheiten und Katastrophen: Zur diskursiven Wirkmächtigkeit ökonomischen Denkens,06.04.2016,Eingeladener Vortrag an Universität,20127,Pühringer S.,", Österreich, 06.04.2016",New Design University St. Pölten,"Lectures and Debates zur ""Sprache des Geldes""",St. Pölten
Komplexitätsökonomik,09.02.2016,Eingeladener Vortrag an Universität,23996,Gräbner-Radkowitsch C.,", Deutschland, 09.02.2016",,"Ringvorlesung ""Denkschulen und aktuelle Kontroversen der Ökonomik""",Freie Universität Berlin
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,04.11.2015,Eingeladener Vortrag an Universität,19358,Kapeller J.,", Deutschland, 04.11.2015",,,"Universität Tübingen, DE"
Pluralism in Economics,02.09.2015,Eingeladener Vortrag an Universität,18489,Kapeller J.,", Chile, 02.09.2015",,,"Santiago de Chile, Universidad de Chile"
Europäische Agrarpolitik,22.06.2015,Eingeladener Vortrag an Universität,19110,Hirte K.,", Österreich, 22.06.2015",,,Ringvorlesung Ernährungssouveränität. BOKU Wien
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,09.06.2015,Eingeladener Vortrag an Universität,18038,Kapeller J.,", Deutschland, 09.06.2015",,,"Universität Halle, DE"
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,01.06.2015,Eingeladener Vortrag an Universität,18037,Kapeller J.,", Deutschland, 01.06.2015",,,"Universität Erfurt, DE"
Die Rolle pluraler Ökonomik in der ökonomischen Bildung,05.05.2015,Eingeladener Vortrag an Universität,18035,Kapeller J.,", Deutschland, 05.05.2015",,,"Universität Tübingen, DE"
Denkschulenentwicklungen in der deutschen VWL nach 1945,24.04.2015,Eingeladener Vortrag an Universität,17796,Hirte K.,", Deutschland, 24.04.2015",FB Wirtschaftswissenschaften der Universität Frankfurt am Main,Kolloquium Dogmenhistorie,Frankfurt am Main
Pluralism in Economics: Perspectives from Philosophy of Science,05.02.2015,Eingeladener Vortrag an Universität,17747,Kapeller J.,", Niederlande, 05.02.2015",University of Maastricht,,"Maastricht, NL"
"Pluralismus, Komplexität und Mikroökonomik",13.01.2015,Eingeladener Vortrag an Universität,23998,Gräbner-Radkowitsch C.,", Deutschland, 13.01.2015",,,"Universität Erfurt, DE"
Ranglisten und andere Evaluationskriterien – die Macht der Wissenschaftsstatistik,18.12.2014,Eingeladener Vortrag an Universität,18034,Kapeller J.,", Deutschland, 18.12.2014",,,"Universität Hamburg, DE"
The Neoliberal Utopia as Negation of All Other Utopias,05.12.2014,Eingeladener Vortrag an Universität,16924,Ötsch W.,", Österreich, 05.12.2014",Institut für Systematische Theologie der Katholisch-Theologischen Fakultät,Unterwegs zu einer neuen Zivilisation geteilter Genügsamkeit. Perspektiven utopischen Denkens 25 Jahre nach dem Tod Ignacio Ellacurías,Universität Wien
"ÖkonomInnen und Ökonomie – Theorie, Erhebungen, Zugänge",01.12.2014,Eingeladener Vortrag an Universität,17799,Hirte K.,", Deutschland, 01.12.2014",Universität Kassel,Workshop „Zur Pluralität der wissenschaftlichen Lehre in Deutschland“,Kassel
Keynotespeaker zum Thema Mythos Markt – Die Wichtigkeit von Narrativen und von diskursiven Netzwerken,21.11.2014,Eingeladener Vortrag an Universität,16922,Ötsch W.,", Österreich, 21.11.2014",Wirtschaftsuniversität Wien,,Wien
"Podiumsdiskussion über das Programm von ""Agenda Austria""",19.11.2014,Eingeladener Vortrag an Universität,16920,Ötsch W.,", Österreich, 19.11.2014",Johannes Kepler Universität Linz,,Linz
Die Rückkehr des Rentiers. Ansichten zu Thomas Pikettys ‘Capital in the 21st century’,12.11.2014,Eingeladener Vortrag an Universität,16884,Kapeller J.,", Österreich, 12.11.2014",Johannes Kepler Universität Linz,,Linz
"Europäische Agrarpolitik. Institutionen, Innovationen, Interpretationen.",12.11.2014,Eingeladener Vortrag an Universität,16882,Hirte K.,", Deutschland, 12.11.2014",Universität Kassel,,Kassel
Kritische Betrachtung der Entwicklung der EU-Agrarpolitik,12.11.2014,Eingeladener Vortrag an Universität,15936,Hirte K.,", Deutschland, 12.11.2014",Universität Kassel,,"Ringvorlesung Ernährungssouveränität, FB Ökologische Agrarwissenschaften"
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,05.11.2014,Eingeladener Vortrag an Universität,18033,Kapeller J.,", Deutschland, 05.11.2014",,,"Universität Göttingen, DE"
"Relevanz, Realität, Modelle. Was braucht die Ökonomie?",29.10.2014,Eingeladener Vortrag an Universität,16873,Kapeller J.,", Österreich, 29.10.2014",Wirtschaftsuniversität Wien,,Wien
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,23.10.2014,Eingeladener Vortrag an Universität,18032,Kapeller J.,", Deutschland, 23.10.2014",,,"Universität Hamburg, DE"
Wie Bilder und Metaphern Wirtschaft beeinflussen: mit Beispielen vom 18. Jahrhundert bis zum Neoliberalismus,23.10.2014,Eingeladener Vortrag an Universität,16872,Ötsch W.,", Österreich, 23.10.2014",Wirtschaftsuniversität Wien,,Wien
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,21.10.2014,Eingeladener Vortrag an Universität,18031,Kapeller J.,", Österreich, 21.10.2014",,,Universität Graz
Vom mittelalterlichen Dienst an Gott zum neoklassischen Produktionsfaktor. Ein Überblick über die Kulturgeschichte von Arbeit und Zeit,07.05.2014,Eingeladener Vortrag an Universität,16829,Ötsch W.,", Österreich, 07.05.2014",Wirtschaftsuniversität Wien,,
Die unsichtbare Hand des Marktes: Wahrheit oder Glaubenslehre,06.05.2014,Eingeladener Vortrag an Universität,16828,Ötsch W.,", Deutschland, 06.05.2014",Fachhochschule Wieselburg,,Wieselburg
"Mechanismen der Finanzmärkte, Globalisierung und Wirtschaftskrise",17.04.2014,Eingeladener Vortrag an Universität,16827,Ötsch W.,", Österreich, 17.04.2014",Masterlehrgang Management und Leadership für Frauen,,Linz
Ökonomie und ÖkonomInnen - Interdependenz von Wirtschaftstheorie und ihrer Praxis,26.11.2013,Eingeladener Vortrag an Universität,14274,Pühringer S.,", Deutschland, 26.11.2013","Universität Bayreuth, VWL IG — Professur für International Governance",Ringvorlesung Ökonomik zwischen Modell und Wirklichkeit,Uni Bayreuth
Ökonomik als soziale Physik – Von der Moralwissenschaft zum Naturalismus,29.10.2013,Eingeladener Vortrag an Universität,15070,Ötsch W.,", Deutschland, 29.10.2013",Universität Bayreuth,,Bayreuth
Allegorien des Lesens. Paul de Man im Kontext,21.06.2013,Eingeladener Vortrag an Universität,15046,Nordmann J.,", Deutschland, 21.06.2013",Universität Flensburg,,Flensburg
Europäische Agrarpolitik,12.03.2013,Eingeladener Vortrag an Universität,15035,Hirte K.,", Österreich, 12.03.2013",,Ernährungssouveränität,BOKU Wien
Alte und neue Erklärungsansätze zum Aufstieg und Fall von Eliten,14.11.2012,Eingeladener Vortrag an Universität,12910,Hirte K.,", Österreich, 14.11.2012",Johannes Kepler Universität Linz,Lunch Lectures,Johannes Kepler Universität
Der Verlust der Kategorien von Moral und der Gesellschaft in der Geschichte der Nationalökonomie,18.09.2012,Eingeladener Vortrag an Universität,12904,Ötsch W.,", Deutschland, 18.09.2012",Alanus Hochschule für Kunst und Gesellschaft,Ökonomisch-philosophischen Herbstakademie 2012: Die Ökonomien des Gemeinsamen. Neue Orte ökonomischer Bildung,Alfter bei Bonn
"Neoliberalismus, ökonomische Theorien und Propaganda",18.09.2012,Eingeladener Vortrag an Universität,12905,Ötsch W.,", Deutschland, 18.09.2012",Alanus Hochschule für Kunst und Gesellschaft,Ökonomisch-philosophischen Herbstakademie 2012: Die Ökonomien des Gemeinsamen. Neue Orte ökonomischer Bildung,Alfter bei Bonn
Wider die Marktgläubigkeit. Ökonomie neu denken lernen (Publikumsdiskussion),18.09.2012,Eingeladener Vortrag an Universität,12903,Ötsch W.,", Deutschland, 18.09.2012",Alanus Hochschule für Kunst und Gesellschaft,Ökonomisch-philosophischen Herbstakademie 2012: Die Ökonomien des Gemeinsamen. Neue Orte ökonomischer Bildung,Alfter bei Bonn
Grenzen der Krisendebatte. Zum Verhältnis von Sach- und Grundsatzdiskussionen in den Printmedien und in den Sozialwissenschaften,16.07.2012,Eingeladener Vortrag an Universität,11419,Nordmann J.,", Deutschland, 16.07.2012",,"Sprachliche Konstruktionen sozial- und wirtschaftspolitischer ""Krisen"" in der BRD",Universität Trier
Folgt nach der Finanz- die Demokratiekrise?,15.06.2012,Eingeladener Vortrag an Universität,11435,Ötsch W.,", Österreich, 15.06.2012",Bürgerforum Europa 2020,,Universität Linz
Theorien der liberalen Gesellschaft,15.06.2012,Eingeladener Vortrag an Universität,11433,Nordmann J.,", Deutschland, 15.06.2012",,,Universität Flensburg
Hintergründe zur Staatsschuldenkrise: wie denken die handelnden Akteure?,09.05.2012,Eingeladener Vortrag an Universität,11430,Ötsch W.,", Österreich, 09.05.2012",Österreichischen Hochschülerschaft Linz,,Universität Linz
"Politik und Wirtschaft, insbesondere zum Neoliberalismus",16.12.2011,Eingeladener Vortrag an Universität,11416,Ötsch W.,", Österreich, 16.12.2011",,,Donau-Universität Krems
Der Gesellschaftsvertrag von Locke bis Rawls,25.11.2011,Eingeladener Vortrag an Universität,11411,Nordmann J.,", Deutschland, 25.11.2011",,,Universität Flensburg
Ist der Euro am Ende?,22.11.2011,Eingeladener Vortrag an Universität,11410,Ötsch W.,", Österreich, 22.11.2011",,,Universität Linz
