Titel,Personen,Jahr,Peer-Review erfolgt,Übergeordneter Typ,Serienvolumen,Seriennummer,Serienname,APA-Format,Organisationseinheit
Grenzen aktueller Krisendebatten Über Konstruktionen der öffentlichen Meinung und das Verhältnis von Sach‐ und Grundsatzdiskussionen in (neo)liberalen Demokratien,"Nordmann, Jürgen",2013,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,23,ICAE Working Paper Series,"Nordmann, J. (2013). Grenzen aktueller Krisendebatten Über Konstruktionen der öffentlichen Meinung und das Verhältnis von Sach‐ und Grundsatzdiskussionen in (neo)liberalen Demokratien. (ICAE Working Paper Series; Nr. 23).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Stability, Fairness and Random Walks in the Bargaining Problem","Kapeller, Jakob (+1 weitere)",2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,67,ICAE Working Paper Series,"Kapeller, J., & Steinerberger, S. (2017). Stability, Fairness and Random Walks in the Bargaining Problem. (ICAE Working Paper Series; Nr. 67).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
What’s ‘structural’ about unemployment in Europe: On the Determinants of the European Commission’s NAIRU Estimates,"Kapeller, Jakob (+2 weitere)",2016,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,47,ICAE Working Paper Series,"Heimberger, P., Kapeller, J., & Schütz, B. (2016). What’s ‘structural’ about unemployment in Europe: On the Determinants of the European Commission’s NAIRU Estimates. (ICAE Working Paper Series; Nr. 47).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The Complexity of Economies and Pluralism in Economics,"Gräbner-Radkowitsch, Claudius",2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,69,ICAE Working Paper Series,"Gräbner-Radkowitsch, C. (2017). The Complexity of Economies and Pluralism in Economics. (ICAE Working Paper Series; Nr. 69).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Das europäische Schattenbankensystem Typologisierung und die Bewertung regulatorischer Initiativen auf europäischer Ebene,"Bräutigam, Lars (+1 weitere)",2016,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,56,ICAE Working Paper Series,"Beyer, K., & Bräutigam, L. (2016). Das europäische Schattenbankensystem Typologisierung und die Bewertung regulatorischer Initiativen auf europäischer Ebene. (ICAE Working Paper Series; Nr. 56).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
To trust or to control: Informal value transfer systems and computational analysis in institutional economics,"Gräbner-Radkowitsch, Claudius",2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,74,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Elsner, W., & Lascaux, A. (2017). To trust or to control: Informal value transfer systems and computational analysis in institutional economics. (ICAE Working Paper Series; Nr. 74).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Internationale Tendenzen und Potentiale der Vermögensbesteuerung,"Kapeller, Jakob (+2 weitere)",2016,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,57,ICAE Working Paper Series,"Kapeller, J., Schütz, B., & Springholz, F. (2016). Internationale Tendenzen und Potentiale der Vermögensbesteuerung. (ICAE Working Paper Series; Nr. 57).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Structural change in times of increasing openness: assessing path dependency in European economic integration,"Kapeller, Jakob (+3 weitere)",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,76,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Heimberger, P., Kapeller, J., & Schütz, B. (2018). Structural change in times of increasing openness: assessing path dependency in European economic integration. (ICAE Working Paper Series; Nr. 76).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
How to explain Wage Growth Slowdown in Austria?,,2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,58,ICAE Working Paper Series,"Gerhartinger, P., Haunschmid, P., & Tamesberger, D. (2017). How to explain Wage Growth Slowdown in Austria? (ICAE Working Paper Series; Nr. 58).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Paradigms and Policies: The state of economics in the german-speaking countries,"Pühringer, Stephan (+1 weitere)",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,77,ICAE Working Paper Series,"Grimm, C., Kapeller, J., & Pühringer, S. (2018). Paradigms and Policies: The state of economics in the german-speaking countries. (ICAE Working Paper Series; Nr. 77).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Citation Patterns in Economics and Beyond: Assessing the Peculiarities of Economics from Two Scientometric Perspectives,"Aistleitner, Matthias (+2 weitere)",2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,60,ICAE Working Paper Series,"Aistleitner, M., Kapeller, J., & Steinerberger, S. (2017). Citation Patterns in Economics and Beyond: Assessing the Peculiarities of Economics from Two Scientometric Perspectives. (ICAE Working Paper Series; Nr. 60).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD Countries over 1978-2013,"Heimberger, Philipp",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,79,ICAE Working Paper Series,"Heimberger, P. (2018). The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD Countries over 1978-2013. (ICAE Working Paper Series; Nr. 79).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The “eternal character” of austerity measures in European crisis policies.,"Pühringer, Stephan",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,80,ICAE Working Paper Series,"Pühringer, S. (2018). The “eternal character” of austerity measures in European crisis policies. (ICAE Working Paper Series; Nr. 80).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The heterogeneous relationship between income and inequality: a panel co-integration approach,"Gräbner-Radkowitsch, Claudius",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,91,ICAE Working Paper Series,"Flechtner, S., & Gräbner-Radkowitsch, C. (2019). The heterogeneous relationship between income and inequality: a panel co-integration approach. (ICAE Working Paper Series; Nr. 91).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The micro-macro link in heterodox economics,"Kapeller, Jakob (+1 weitere)",2024,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,153,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., & Kapeller, J. (2024). The micro-macro link in heterodox economics. (ICAE Working Paper Series; Nr. 153).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Wirkmacht der „Liebe zum Markt”: Zum anhaltenden Einfluss ordoliberaler ÖkonomInnen-Netzwerke in Politik und Gesellschaft,"Pühringer, Stephan (+1 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,92,ICAE Working Paper Series,"Pühringer, S., & Ötsch, W. (2019). Die Wirkmacht der „Liebe zum Markt”: Zum anhaltenden Einfluss ordoliberaler ÖkonomInnen-Netzwerke in Politik und Gesellschaft. (ICAE Working Paper Series; Nr. 92).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Idiosyncrasies of the oligarchic elite: On the political economy of wealth concentration in Austria,"Aistleitner, Matthias (+2 weitere)",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,157,ICAE Working Paper Series,"Pühringer, S., Aistleitner, M., Cserjan, L., & Hieselmayr, S. (2025). Idiosyncrasies of the oligarchic elite: On the political economy of wealth concentration in Austria. (ICAE Working Paper Series; Nr. 157).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Rank Correction: A New Approach to Differential Non-Response in Wealth Survey Data,"Kapeller, Jakob",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,101,ICAE Working Paper Series,"Wildauer, R., & Kapeller, J. (2019). Rank Correction: A New Approach to Differential Non-Response in Wealth Survey Data. (ICAE Working Paper Series; Nr. 101).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Theory and Empirics of Capability Accumulation: Implications for Macroeconomic Modelling,"Hornykewycz, Anna (+2 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,105,ICAE Working Paper Series,"Aistleitner, M., Gräbner-Radkowitsch, C., & Hornykewycz, A. (2020). Theory and Empirics of Capability Accumulation: Implications for Macroeconomic Modelling. (ICAE Working Paper Series; Nr. 105).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The emergence of debt and secular stagnation in an unequal society: a stock- flow consistent agent-based approach,"Hornykewycz, Anna (+2 weitere)",2022,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,135,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Hornykewycz, A., & Schütz, B. (2022). The emergence of debt and secular stagnation in an unequal society: a stock- flow consistent agent-based approach. (ICAE Working Paper Series; Nr. 135).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Friedman’s Instrumentalismus und das Problem von Kopernikus. Zur zentralen Rolle von Ausgangsannahmen in Theorien,"Hirte, Katrin",2020,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K. (Hrsg.) (2020). Friedman’s Instrumentalismus und das Problem von Kopernikus. Zur zentralen Rolle von Ausgangsannahmen in Theorien. In Pühringer, Stephan; Graupe, Silja; Hirte, Katrin; Kapeller, Jakob; Panther, Stephan (Hrsg.), Jenseits der Konventionen: Alternatives Denken zu Wirtschaft, Gesellschaft und Politik. (S. 97-122). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Capability accumulation and product innovation: an agent-based perspective,"Hornykewycz, Anna (+1 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,108,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., & Hornykewycz, A. (2020). Capability accumulation and product innovation: an agent-based perspective. (ICAE Working Paper Series; Nr. 108).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Debt, Boom, Bust: A Theory of Minsky-Veblen Cycles","Kapeller, Jakob (+1 weitere)",2014,begutachtet,Beitrag in Fachzeitschrift,,,,"Kapeller, J., & Schütz, B. (2014). Debt, Boom, Bust: A Theory of Minsky-Veblen Cycles. Journal of Post Keynesian Economics, 36(4).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Bestände und Konzentration privater Vermögen in Österreich,"Ferschli, Benjamin (+2 weitere)",2017,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ferschli, B., Kapeller, J., Schütz, B., & Wildauer, R. (2017). Bestände und Konzentration privater Vermögen in Österreich. In Materialien zu Wirtschaft und Gesellschaft ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Bestände und Konzentration privater Vermögen in Österreich,"Ferschli, Benjamin (+2 weitere)",2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,,"Ferschli, B., Kapeller, J., Schütz, B., & Wildauer, R. (2017). Bestände und Konzentration privater Vermögen in Österreich.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Moralität, Wettbewerb und internationaler Handel: Eine europäische Perspektive","Kapeller, Jakob (+1 weitere)",2015,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., Schütz, B., & Tamesberger, D. (2015). Moralität, Wettbewerb und internationaler Handel: Eine europäische Perspektive. In Hansjörg Seckauer, Christine Stelzer-Orthofer, Brigitte Kepplinger (Hrsg.), Das Vorgefundene und das Mögliche. Beiträge zur Gesellschafts- und Sozialpolitik zwischen Ökonomie und Moral (S. 213-227). Mandelbaum Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The Constitution of Ignorance - zur Bedeutung von Nichtwissen in der Verhaltensökonomie,,2020,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Steffestun, T. (Hrsg.) (2020). The Constitution of Ignorance - zur Bedeutung von Nichtwissen in der Verhaltensökonomie. In Ötsch, Walter O.; Steffestun, Theresa (Hrsg.), Wissen und Nichtwissen der ökonomisierten Gesellschaft. (S. 85-132). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Zur Einführung: Wissen und Nichtwissen in einer ökonomisierten Gesellschaft. Konturen einer neuen Politischen Ökonomie,"Ötsch, Walter",2020,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W., & Steffestun, T. (Hrsg.) (2020). Zur Einführung: Wissen und Nichtwissen in einer ökonomisierten Gesellschaft. Konturen einer neuen Politischen Ökonomie. In Wissen und Nichtwissen der ökonomisierten Gesellschaft. (S. 7–35). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Einführung: Die Bedeutung von Bildern für Denken und Sprechen,"Ötsch, Walter",2018,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W., & Graupe, S. (Hrsg.) (2018). Einführung: Die Bedeutung von Bildern für Denken und Sprechen. In Macht der Bilder, Macht der Sprache. Band 37 der Schriftenreihe der Freien Akademie Falkensee. (S. 75–86). Angelika Lenz Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Power in Economics without Power in Economics?,"Hornykewycz, Anna (+1 weitere)",2024,begutachtet,Beitrag in Fachzeitschrift,,,,"Rath, J., Hornykewycz, A., & Burnazoglu, M. (2024). Power in Economics without Power in Economics? Review of Evolutionary Political Economy, 5, 301-328.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
How to boost the European Green Deal’s scale and ambition,"Kapeller, Jakob",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,111,ICAE Working Paper Series,"Wildauer, R., Leitch, S., & Kapeller, J. (2020). How to boost the European Green Deal’s scale and ambition. (ICAE Working Paper Series; Nr. 111).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Theorizing Competition: an interdisciplinary approach,"Pühringer, Stephan (+2 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,117,ICAE Working Paper Series,"Altreiter, C., Gräbner-Radkowitsch, C., Pühringer, S., & Rogojanu, A. et al. (2020). Theorizing Competition: an interdisciplinary approach. (ICAE Working Paper Series; Nr. 117).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Der größte ‘Trumpf’ Europas: Eine Analyse des ‘economic imaginary’ der Europäischen Kommission,"Porak, Laura",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,118,ICAE Working Paper Series,"Porak, L. (2020). Der größte ‘Trumpf’ Europas: Eine Analyse des ‘economic imaginary’ der Europäischen Kommission. (ICAE Working Paper Series; Nr. 118).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Do the “smart kids” catch up? Technological capabilities, globalisation and economic growth","Kapeller, Jakob (+2 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,119,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Heimberger, P., & Kapeller, J. (2020). Do the “smart kids” catch up? Technological capabilities, globalisation and economic growth. (ICAE Working Paper Series; Nr. 119).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Theorizing competition: an interdisciplinary framework,"Pühringer, Stephan (+2 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,120,ICAE Working Paper Series,"Altreiter, C., Gräbner-Radkowitsch, C., Pühringer, S., & Rogojanu, A. et al. (2020). Theorizing competition: an interdisciplinary framework. (ICAE Working Paper Series; Nr. 120).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The political economy of academic publishing: On the commodification of a public good,"Rath, Johanna (+2 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,121,ICAE Working Paper Series,"Pühringer, S., Rath, J., & Griesebner, T. (2020). The political economy of academic publishing: On the commodification of a public good. (ICAE Working Paper Series; Nr. 121).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"The evolution of debtor-creditor relationships within a monetary union: Trade imbalances, excess reserves and economic policy","Kapeller, Jakob (+4 weitere)",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,122,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Heimberger, P., Kapeller, J., & Landesmann, M. et al. (2021). The evolution of debtor-creditor relationships within a monetary union: Trade imbalances, excess reserves and economic policy. (ICAE Working Paper Series; Nr. 122).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Talking about competition? Discursive shifts in the economic imaginary of competition in public debates,"Porak, Laura (+2 weitere)",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,123,ICAE Working Paper Series,"Pühringer, S., Porak, L., & Rath, J. (2021). Talking about competition? Discursive shifts in the economic imaginary of competition in public debates. (ICAE Working Paper Series; Nr. 123).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Design and Take Up of Austria’s Coronavirus Short Time Work Model,,2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,127,ICAE Working Paper Series,"Tamesberger, D., & Theurl, S. (2021). Design and Take Up of Austria’s Coronavirus Short Time Work Model. (ICAE Working Paper Series; Nr. 127).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
It’s the End of Globalization as We Know It! Zeitgemäße Betrachtungen zur politischen Ökonomik der Globalisierungskrise,,2022,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,141,ICAE Working Paper Series,"Reiner, C. (2022). It’s the End of Globalization as We Know It! Zeitgemäße Betrachtungen zur politischen Ökonomik der Globalisierungskrise. (ICAE Working Paper Series; Nr. 141).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Competing for sustainability? An institutionalist analysis of the new development model of the European Union,"Hager, Theresa (+2 weitere)",2022,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,143,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Hager, T., & Hornykewycz, A. (2022). Competing for sustainability? An institutionalist analysis of the new development model of the European Union. (ICAE Working Paper Series; Nr. 143).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The three faces of competitization: From marketization to a multiplicity of competition,"Pühringer, Stephan (+2 weitere)",2023,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,146,ICAE Working Paper Series,"Altreiter, C., Gräbner-Radkowitsch, C., Pühringer, S., & Rogojanu, A. et al. (2023). The three faces of competitization: From marketization to a multiplicity of competition. (ICAE Working Paper Series; Nr. 146).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Macht der Wissenschaftsstatistik und die Entwicklung der Ökonomie,"Aistleitner, Matthias (+2 weitere)",2015,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,33,ICAE Working Paper Series,"Aistleitner, M., Fölker, M., & Kapeller, J. (2015). Die Macht der Wissenschaftsstatistik und die Entwicklung der Ökonomie. (ICAE Working Paper Series; Nr. 33).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Verteilungstendenzen im Kapitalismus: Nationale und Globale Perspektiven,"Kapeller, Jakob (+1 weitere)",2015,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,36,ICAE Working Paper Series,"Kapeller, J., & Schütz, B. (2015). Verteilungstendenzen im Kapitalismus: Nationale und Globale Perspektiven. (ICAE Working Paper Series; Nr. 36).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The Micro‐Macro Link in Heterodox Economics,"Kapeller, Jakob (+1 weitere)",2015,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,37,ICAE Working Paper Series,"Kapeller, J., & Gräbner-Radkowitsch, C. (2015). The Micro‐Macro Link in Heterodox Economics. (ICAE Working Paper Series; Nr. 37).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Internationaler Freihandel: Theoretische Ausgangspunkte und empirische Folgen,"Kapeller, Jakob",2016,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,45,ICAE Working Paper Series,"Kapeller, J. (2016). Internationaler Freihandel: Theoretische Ausgangspunkte und empirische Folgen. (ICAE Working Paper Series; Nr. 45).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Trust and Social Control. Sources of cooperation, performance, and stability in informal value transfer systems","Gräbner-Radkowitsch, Claudius",2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,62,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Elsner, W., & Lascaux, A. (2017). Trust and Social Control. Sources of cooperation, performance, and stability in informal value transfer systems. (ICAE Working Paper Series; Nr. 62).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
How to relate models to reality? An epistemological framework for the validation and verification of computational models,"Gräbner-Radkowitsch, Claudius",2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,63,ICAE Working Paper Series,"Gräbner-Radkowitsch, C. (2017). How to relate models to reality? An epistemological framework for the validation and verification of computational models. (ICAE Working Paper Series; Nr. 63).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Is Europe disintegrating? Macroeconomic divergence, structural polarization, trade and fragility","Kapeller, Jakob (+3 weitere)",2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,64,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Heimberger, P., Kapeller, J., & Schütz, B. (2017). Is Europe disintegrating? Macroeconomic divergence, structural polarization, trade and fragility. (ICAE Working Paper Series; Nr. 64).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Delayed by outsourcing? Zur Stabilität des Kapitalismus im 21. Jahrhundert,"Kapeller, Jakob",2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,65,ICAE Working Paper Series,"Kapeller, J. (2017). Delayed by outsourcing? Zur Stabilität des Kapitalismus im 21. Jahrhundert. (ICAE Working Paper Series; Nr. 65).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Pluralism in economics: its critiques and their lessons,"Strunk, Birte (+1 weitere)",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,82,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., & Strunk, B. (2018). Pluralism in economics: its critiques and their lessons. (ICAE Working Paper Series; Nr. 82).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Measuring Economic Openness: A review of existing measures and empirical practices,"Kapeller, Jakob (+3 weitere)",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,,"Gräbner-Radkowitsch, C., Heimberger, P., Kapeller, J., & Springholz, F. (2018). Measuring Economic Openness: A review of existing measures and empirical practices.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Theoriegeschichte der Ökonomie als Imaginationsgeschichte,"Ötsch, Walter",2024,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (Hrsg.) (2024). Theoriegeschichte der Ökonomie als Imaginationsgeschichte. In Ötsch Walter O., Priddat Birger P., Groß Steffen W. (Hrsg.), Das Imaginative der Politischen Ökonomie. Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Divided we stand? Professional consensus and political conflict in academic economics,"Pühringer, Stephan (+1 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,94,ICAE Working Paper Series,"Beyer, K., & Pühringer, S. (2019). Divided we stand? Professional consensus and political conflict in academic economics. (ICAE Working Paper Series; Nr. 94).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Ist der Neoliberalismus am Ende?,"Ötsch, Walter",2020,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2020). Ist der Neoliberalismus am Ende? In Schmidinger, Thomas; Weidenholzer, Josef (Hrsg.), Virenregime. Wie die Coronakrise unsere Welt verändert. Befunde, Analyse, Anregungen. bahoe books. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Trade Models in the European Union,"Kapeller, Jakob (+2 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,95,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Tamesberger, D., Heimberger, P., & Kapelari, T. et al. (2019). Trade Models in the European Union. (ICAE Working Paper Series; Nr. 95).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Kognitive Grundlagen menschlichen Verhaltens. Kognitionswissenschaften und neoklassische Standardtheorie,"Ötsch, Walter",2009,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2009). Kognitive Grundlagen menschlichen Verhaltens. Kognitionswissenschaften und neoklassische Standardtheorie. In Goldschmidt, Niels; Nutzinger, Hans G. (Hrsg.), Vom homo oeconomicus zum homo culturalis. Handlung und Verhalten in der Ökonomie Lit-Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Economic Polarisation in Europe: Causes and Policy Options,"Kapeller, Jakob (+2 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,99,ICAE Working Paper Series,"Kapeller, J., Gräbner-Radkowitsch, C., & Heimberger, P. (2019). Economic Polarisation in Europe: Causes and Policy Options. (ICAE Working Paper Series; Nr. 99).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Computer-Welten und Markt-Diskurs. Die neoklassische Propaganda 'des Marktes'.,"Ötsch, Walter",2009,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2009). Computer-Welten und Markt-Diskurs. Die neoklassische Propaganda 'des Marktes'. In Ötsch, Walter O. Thomasberger, Claus (Hrsg.), Der neoliberale Markt-Diskurs. Ursprünge, Geschichte, Wirkungen. Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Bilder der Wirtschaft. Metaphern, Diskurse und Hayeks neoliberales Hegemonialprojekt.","Ötsch, Walter",2009,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2009). Bilder der Wirtschaft. Metaphern, Diskurse und Hayeks neoliberales Hegemonialprojekt. In Hubert Hieke (Hrsg.), Kapitalismus. Kritische Betrachtungen und Reformansätze. Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Braucht die aktuelle Gesellschaft einen Gesellschaftsvertrag? Der politische Neoliberalismus im Spiegel von John Locke und John Rawls,"Nordmann, Jürgen",2011,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Nordmann, J. (Hrsg.) (2011). Braucht die aktuelle Gesellschaft einen Gesellschaftsvertrag? Der politische Neoliberalismus im Spiegel von John Locke und John Rawls. In Gesellschaft! Welche Gesellschaft? Nachdenken über eine sich wandelnde Gesellschaft Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Finanzialisierung und Globale Ungleichheit,"Ferschli, Benjamin (+2 weitere)",2019,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., Schütz, B., & Ferschli, B. (2019). Finanzialisierung und Globale Ungleichheit. In Globale Ungleichheit: Über Zusammenhänge von Kolonialismus, Arbeitsverhältnissen und Naturverbrauch. Mandelbaum Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Exkurs: Die Macht der internationalen Vermögensverwalter: Das Beispiel BlackRock,"Ferschli, Benjamin (+2 weitere)",2019,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., Schütz, B., & Ferschli, B. (2019). Exkurs: Die Macht der internationalen Vermögensverwalter: Das Beispiel BlackRock. In Globale Ungleichheit: Über Zusammenhänge von Kolonialismus, Arbeitsverhältnissen und Naturverbrauch Mandelbaum Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"The return of the rentier. Review of: Piketty, Thomas (2014): Capital in the 21st century. Harvard University Press, 685 pages","Kapeller, Jakob",2014,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,26,ICAE Working Paper Series,"Kapeller, J. (2014). The return of the rentier. Review of: Piketty, Thomas (2014): Capital in the 21st century. Harvard University Press, 685 pages. (ICAE Working Paper Series; Nr. 26).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
