Titel,Typ,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Listenindex,Personen,Externe Person,Startdatum,Schlussdatum
Philosophical perspectives on moral erosion in markets,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2024-12-01,2024-12-01
Konzernmacht in globalen Güterketten,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2025-03-01,2025-03-01
Ökonomische Polarisierung in Europa,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2025-07-01,2025-07-01
It’s the economy stupid – Was ist eigentlich die Wirtschaft?,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Keynote Speaker,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2025-09-01,2025-09-01
Pluralism in Economics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2025-09-01,2025-09-01
Vermögenskonzentration als gesellschaftliche Herausforderung,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Keynote Speaker,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2025-11-01,2025-11-01
Model-Platonism on Economics – a Popperian view on Mainstream Economics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2025-11-01,2025-11-01
Netzwerke der Macht und des Überreichtums,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2025-10-09,2025-10-09
Ökonomische und politische Machtkonzentration in Reichennetzwerken,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2025-11-06,2025-11-06
"Kapitalmacht in der Praxis: Lobbyismus, Spenden und Medien: Wie Besitzverhältnisse und Informationssubstitute Medien beeinflussen",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Stäudelmayr, Alexander (+1 weitere)",,2025-10-28,2025-10-28
Die Macht der Rankings (in) der Wettbewerbswissenschaft,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2025-11-13,2025-11-13
"Giving Back Wealth: Analysis of the Communication and Media Reception of the ""Good Council for Redistribution""",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Verita, Carlotta (+2 weitere)",,2025-10-08,2025-10-08
Media Narratives on wealth-based taxation in German speaking countries,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Stäudelmayr, Alexander (+1 weitere)","Grisold, Andrea (+2 weitere)",2025-09-24,2025-09-26
"""Disturbing Narratives in Economics: The Role of the Media regarding Notions on Wealth (Re-) Distribution""",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Stäudelmayr, Alexander (+1 weitere)","Grisold, Andrea (+2 weitere)",2025-08-27,2025-08-30
Beyond Text-As-Data: Integrating Structural Topic Modelling and Critical Discourse Analysis for Contextualised Transitions Research,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Verita, Carlotta (+1 weitere)",,2025-06-25,2025-06-25
"Mediated Discourses, Digital Capitalism, and the Struggle for Socio-Ecological Futures",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2025-09-23,2025-09-23
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Scharnreitner, Franz (+4 weitere)",,2025-10-24,2025-10-24
Beyond Text-As-Data: Integrating Structural Topic Modelling and Critical Discourse Analysis for Contextualized Transitions Research,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Verita, Carlotta (+1 weitere)",,2025-09-25,2025-09-25
"Giving Back Wealth: Analysis of the Communication and Media Reception of the ""Good Council for Redistribution""",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Verita, Carlotta (+1 weitere)","Gartiser, Moritz",2025-09-25,2025-09-25
"Giving Back Wealth: Analysis of the Communication and Media Reception of the ""Good Council for Redistribution",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Verita, Carlotta (+1 weitere)","Gartiser, Moritz",2025-08-29,2025-08-29
Media Capture and Authoritarian Media Policy: A Scoping Review of Right-Wing Strategies in the 21st Century,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Verita, Carlotta (+2 weitere)",,2025-08-30,2025-08-30
"Giving back wealth: Analysis of the communication and media reception of the ""Good Council for Redistribution""",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2025-06-20,2025-06-20
"Media Concentration Across Wireless, Online Advertising, and Online Search​. Findings from the US Team",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Theine, Hendrik","Ali, Christopher (+2 weitere)",2025-01-01,2025-01-01
Discourse of Justice: Giving back wealth - Analysis of the communication and media reception of the good council for redistribution,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2025-01-01,2025-01-01
The hydrogen fairytale - discursive coalitions in EU renewable energy policy,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Verita, Carlotta (+2 weitere)",,2025-09-25,2025-09-25
Mobilitätswende Produzieren - Konversionspotenziale für nachhaltige Mobilität,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2025-10-03,2025-10-03
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Scharnreitner, Franz (+4 weitere)",,2025-10-02,2025-10-02
Barriers to Socio-Ecological Transition in the Face of Structural Global Inequalities,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Scharnreitner, Franz (+4 weitere)",,2025-09-24,2025-09-24
Netzwerke der Macht und Superreichtum in Österreich,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Keynote Speaker,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2025-10-09,2025-10-09
Zentrale Herausforderungen des deutschen New Economy Ökosystems,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas",,2025-10-07,2025-10-07
Socio-Ecological Transformation: Still a blindspot in Economics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Keynote Speaker,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2025-10-03,2025-10-03
Gendered Competitive Practices in Economics: A Multi-Layer Model of Women's Underepresentation,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2025-09-25,2025-09-25
The plurality of economics behind socio-ecological transformations,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas (+1 weitere)",,2025-09-25,2025-09-25
The social and epistemic structure of research on Socio-ecological Transformation. Challenging the economic mainstream?,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias","Pühringer, Stephan (+1 weitere)",2025-09-24,2025-09-24
Producing the mobility transition: Opportunities and challenges for the Austrian railway supply industry from a global production network perspective,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-09-26,2025-09-26
"Kommentar ""Industriepolitik für die Mobilitätswende""",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-09-11,2025-09-11
Umkämpfte Mobilitätswende,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-08-12,2025-08-12
"Mobilitätswende produzieren - Beschäftigungspotenziale, Arbeitsbedingungen und Arbeitskräftebedarf der österreichischen Bahnindustrie",Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-06-24,2025-06-24
Mobilitätswende produzieren - Chancen und Herausforderungen für die österreichische Bahnindustrie im europäischen und globalen Kontext,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-06-12,2025-06-12
Präsentation der Endergebnisse der Studie „Mobilitätswende produzieren“,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura (+4 weitere)",,2025-04-07,2025-04-07
Präsentation der Zwischenergebnisse der Studie „Mobilitätswende produzieren“,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura (+4 weitere)",,2025-01-16,2025-01-16
Tracing the EU’s quest for green hydrogen in Chile,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-06-03,2025-06-03
Industriepolitik als Ausweg aus der Krise?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-05-27,2025-05-27
Das globale Produktionsnetzwerk der österreichischen Bahnindustrie,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-05-12,2025-05-12
Das globale Produktionsnetzwerk der österreichischen Bahnindustrie,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura (+1 weitere)",,2025-05-06,2025-05-06
Industriepolitik im Zeitalter von globalen Warenketten“ im Rahmen der VU „Globale Warenketten,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-04-02,2025-04-02
Präsentation der Zwischenergebnisse der Studie „Mobilitätswende produzieren“,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa (+1 weitere)",,2025-01-24,2025-01-24
Delegating Decarbonization: How InvestEU empowers financial capital at the expense of a democratic governance of EU industrial policy,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Porak, Laura","Wigger, Angela",2025-01-01,2025-01-01
Gestalte das perfekte Wirtschaftssystem,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2025-07-30,2025-07-30
Gestalte das perfekte Wirtschaftssystem,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2025-08-07,2025-08-07
Gestalte das perfekte Wirtschaftssystem,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2025-07-17,2025-07-17
Die Bedeutung der Freiheit: Eine philosophische Perspektive auf die Grenzen des Wachstums&nbsp;,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Terhorst, Carlotta",,2025-04-04,2025-04-04
"Wie soll Reichtum verteilt werden, auf welcher Insel willst du leben?",Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2025-07-23,2025-07-23
Ungleichheiten in der grünen Transformation: Die vernachlässigte Rolle von kollektiven Infrastrukturen und Institutionen,Vortrag nach Bewerbung und Auswahl,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Terhorst, Carlotta",,2025-07-01,2025-07-01
Discursive Coalitions in EU Renewable Energy Politics: Building the Hydrogen Fairytale,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Verita, Carlotta (+2 weitere)",,2025-06-25,2025-06-25
Political Economy of Knowledge Production in Capitalist Academia: Challenges for Socio-Ecological Transformation,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Hager, Theresa (+2 weitere)",,2025-07-10,2025-07-10
Competing to Belong: Gendered Competitive Practices and the Persistent Underrepresentation of Women in Economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2025-07-09,2025-07-09
The polysemy of sustainabilities. Insights from the Social Studies of Economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas (+1 weitere)",,2025-07-08,2025-07-08
Gestalte das perfekte Wirtschaftssystem,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2025-04-23,2025-04-23
Konzernmacht in globalen Warenketten,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2025-04-09,2025-04-09
Gastvortrag Propädeutikum Doktorat Sozial- und Wirtschaftswissenschaften,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2025-04-29,2025-04-29
Forschung zu (pluraler) ökonomischer Bildung: Überblick und Beispiel,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas",,2025-06-17,2025-06-17
Die Politische Ökonomie der Vermögenskonzentration in Österreich,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Keynote Speaker,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2025-05-21,2025-05-21
Das Recht auf gute und nachhaltige Mobilität,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2025-06-11,2025-06-11
Zukunftsfähiges Wirtschaften. Welche innovativen Wege weisen Wissenschaft und Praxis?,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas",,2025-05-08,2025-05-08
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2025-04-22,2025-04-22
"Podiumsdiskussion zum Thema ﻿﻿""Perspektiven auf eine klimasoziale Stadt""",Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2025-04-10,2025-04-10
"Aufgeheizte Debatten. Narrative, Technologien und imaginierte Zukünfte der deutschen Wärmewende",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas",,2024-09-26,2024-09-26
Political Economy of Knowledge Production in Capitalist Academia: Challenges for Socio-Ecological Transformation,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r (+1 weitere),"Erweitern, um Werte anzuzeigen","Hager, Theresa (+2 weitere)",,2025-03-11,2025-03-11
Netzwerke des Überreichtums in Österreich und ihre Implikationen,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2025-03-19,2025-03-19
Inequalities in green transitions: The neglected role of collective infrastructures and institutions,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Terhorst, Carlotta",,2024-12-17,2024-12-17
Wirtschaftsmodelle ohne Klimakrise,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+1 weitere)",,2024-03-06,2024-03-06
Die Nobelpreise 2024: Wirtschaft,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2024-12-05,2024-12-05
The climate crisis from a pluralist perspective,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2024-08-06,2024-08-06
Woher kommt das Geld?,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2024-10-15,2024-10-15
Pluralism in Economics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2024-10-01,2024-10-01
Ökonomische Polarisierung in Europa,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2024-11-06,2024-11-06
Pluralism in economics and the split between heterodoxy and orthodoxy,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2024-09-17,2024-09-17
Orthodox vs. Heterodox understandings of wealth dynamics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2024-09-16,2024-09-16
Ökonomische Polarisierung in Europa,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2024-06-11,2024-06-11
"„Hinter jeder erfolgreichen Frau steht ein Mann, der ihr den Rücken stärkt.“",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura (+3 weitere)","Jonjic, Mila",2021-10-16,2021-10-16
The Authors of Economics Journals Revisited: Evidence from a Large-Scale Replication of Hodgson & Rothman (1999),Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+1 weitere)","Kronberger, Dominik",2021-09-03,2021-09-03
Bürgerbeteiligungsmodelle,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Plaimer, Wolfgang",,2013-08-29,2013-08-29
Vortrag CDOs - A Critical Phenomenon of the Financial System in the Crisis,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bräutigam, Lars (+1 weitere)",,2013-09-10,2013-09-10
Bürgerbeteiligungsmodelle,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Plaimer, Wolfgang",,2013-10-07,2013-10-07
"Populismus und Demagogie. Inhalte und Muster eines gefährlichen Denkens, mit Beispielen bis zur Tea Party und Frank Stronach",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2013-10-24,2013-10-24
Eigene Bilder von Identität und Zugehörigkeit erfahren und verändern,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2013-10-24,2013-10-24
Ökonomik als soziale Physik – Von der Moralwissenschaft zum Naturalismus,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2013-10-29,2013-10-29
Was ist eigentlich liberal?,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2013-11-06,2013-11-06
Möglichkeiten vom Bürgerbeteiligungsmodellen in Mehrheits- und Minderheitsgemeinden,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Plaimer, Wolfgang",,2013-11-28,2013-11-28
Möglichkeiten zur Bürgerbeteiligung in Vorchdorf,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Plaimer, Wolfgang",,2013-12-09,2013-12-09
Das Problem der Anerkennung von Arbeit,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2013-01-18,2013-01-18
Podiumsdiskussion: Zur Lage der Demokratie,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen",,2013-01-24,2013-01-24
Die Funktionslogik von Think-Tanks in neoliberalen Machtapparaten,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen",,2014-02-04,2014-02-04
Einführung in das Schattenbankensystem,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2013-03-01,2013-03-01
Europäische Agrarpolitik,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2013-03-12,2013-03-12
Finanzkrise und Staatschuldenkrise,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2013-03-20,2013-03-20
Finanzkrise und Staatschuldenkrise,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2013-03-27,2013-03-27
Bankenrettungen,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2013-02-10,2013-02-10
Bürgerbeteiligungsmodelle,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Plaimer, Wolfgang",,2013-04-15,2013-04-15
Was ist Demokratie?,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen",,2013-04-24,2013-04-24
Demokratie und Finanzkapitalismus,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-02-04,2014-02-04
Finanzkapitalismus: was ist das? Strukturen eines Machtsystems,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2013-05-18,2013-05-18
Bürgerbeteiligungsmodelle,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Plaimer, Wolfgang",,2013-06-10,2013-06-10
Bürgerbeteiligungsmodelle,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Plaimer, Wolfgang",,2013-06-12,2013-06-12
Allegorien des Lesens. Paul de Man im Kontext,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen",,2013-06-21,2013-06-21
Möglichkeiten vom Bürgerbeteiligungsmodellen in Mehrheits- und Minderheitsgemeinden,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Plaimer, Wolfgang",,2013-07-01,2013-07-01
Die Finanzkrise 2007-2009 als Krise von Schattenbanken. Eine institutionelle Analyse,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2013-07-06,2013-07-06
Two perspectives on citation metrics in economics,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-04-12,2015-04-12
Workshop zum Schattenbankensystem,Anderer Vortrag oder Präsentation,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Beyer, Karl",,2013-07-20,2013-07-20
Möglichkeiten zur Bürgerbeteiligung in Steyr,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Plaimer, Wolfgang",,2013-08-28,2013-08-28
"""Alte Bekannte im neuen Gewand"" – Zum Phänomen kontextualer Neuinterpretation von Wissen",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2019-09-27,2019-09-27
Too big to fail…? Subventionierte Strukturplan-Politik in Deutschland zur Forcierung von Massentierhaltung,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2019-09-26,2019-09-26
