authors,title,year,type,citation,doi
"Griesser M., Sauer B.",Von der sozialen Neuzusammensetzung zur gewerkschaftlichen Erneuerung? MigrantInnen als Zielgruppe der österreichischen Gewerkschaftsbewegung,2017,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in ÖZS - Österreichische Zeitschrift für Soziologie, Seite(n) 147-166, 2017",10.1007/s11614-017-0262-x
"Pühringer S., Bäuerle L., Engarntner T.",Was denken (zukünftige) ÖkonomInnen?: Einblicke in die politische und gesellschaftliche Wirkmächtigkeit ökonomischen Denkens.,2017,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in GWP - Gesellschaft, Wirtschaft, Politik, Vol. 66, Nr. 4, Seite(n) 547-556, 2017",
"Kapeller J., Schütz B., Tamesberger D.",From free to civilized trade: a European perspective,2016,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Review of Social Economy, Vol. 74, Nr. 3, Seite(n) 320-328, 2016",10.1080/00346764.2016.1168033
Ötsch W.,"Populismus und Demagogie. Mit Beispielen von Jörg Haider, Heinz–Christian Strache und Frank Stronach",2016,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Foreign Theoretical Trends, Nr. 10, Seite(n) 39-46, 2016",
"Derks L., Ötsch W., Walker W.",Relationships are Constructed from Generalized Unconscious Social Images Kept in Steady Locations in Mental Space,2016,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Journal of Experiential Psychotherapy, Vol. 19, Nr. 1, Seite(n) 3-16, 2016",
"Pühringer S., Egger J.",Wie krank ist unser Wirtschaftssystem? Krisen als Krankheiten im ökonomischen Diskurs,2016,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Kuckuck. Notizen zur Alltagskultur, Vol. 31, Nr. 1, Seite(n) 32-37, 2016",
Griesser M.,Der Staat als Wissensapparat. Konzeptionelle Überlegungen zu einer nicht-funktionalistischen Funktionsanalyse des Sozialstaats,2015,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Zeitschrift für Sozialreform, Vol. 61, Seite(n) 103-124, 2015",10.1515/zsr-2015-0105
Pühringer S.,Markets as “ultimate judges” of economic policies - Angela Merkel´s discourse profile during the economic crisis and the European crisis policies.,2015,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in On the Horizon, Vol. 23, Nr. 3, Seite(n) 246-259, 2015",
Pühringer S.,“Harte” Sanktionen für “budgetpolitische Sünder”. Kritische Diskursanalyse der Debatte zum Fiskalpakt in meinungsbildenden österreichischen Qualitätsmedien.,2015,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Momentum Quarterly, Vol. 4, Nr. 1, Seite(n) 23-41, 2015",
"Kapeller J., Hubmann G.",Fortschrittsidee und Politische Vision [Progress and Politics],2014,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Momentum Quarterly, Vol. 3, Nr. 4, Seite(n) 235-245, 2014",
"Hirte K., Pühringer S.",ÖkonomInnen und Ökonomie in der Krise? Eine diskurs- und netzwerkanalytische Sicht.,2014,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in WISO - Wirtschafts- und sozialpolitische Zeitschrift, Vol. 1, Seite(n) 159-178, 2014",
"Dobusch L., Kapeller J.",Breaking New Paths: Theory and Method in Path Dependence Research,2013,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Schmalenbach Business Review, Vol. 65, Nr. 2, Seite(n) 288-311, 2013",10.1007/bf03396859
"Kapeller J., Steinerberger S.",How Formalism shapes Perception: An Experiment on Mathematics as a Language,2013,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in International Journal of Pluralism and Economics Education, Vol. 4, Nr. 2, Seite(n) 138-156, 2013",10.1504/ijpee.2013.055441
Ötsch W.,The Deep Meening of ‘Market’: Understanding Neoliberal-Market-Radical Reasoning,2013,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Human Geography, Vol. 6, Nr. 2, Seite(n) 11-25, 2013",
"Dobusch L., Kapeller J.",A Guide to Paradigmatic Self-Marginalization - Lessons for Post-Keynesian Economists,2012,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Review of Political Economy, Seite(n) 469-487, 2012",10.1080/09538259.2012.701928
"Kapeller J., Hubmann G.","Solidarisch Handeln: Konzeptionen, Ursachen und Implikationen",2012,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Momentum Quarterly, Vol. 1, Nr. 3, Seite(n) 139-152, 2012",
Hirte K.,"Würdigungs-Netzwerke, gewolltes Nichtwissen und Geschichtsschreibung.",2012,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Österreichische Zeitschrift für Geschichtswissenschaften, Vol. 23, Nr. 1, Studienverlag Innsbruck, Seite(n) 155-185, 2012",
"Dobusch L., Kapeller J.","Wirtschaft, Wissenschaft und Politik: Die sozialwissenschaftliche Bedingtheit linker Reformpolitik",2011,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Prokla, Vol. 41, Nr. 3, Seite(n) 389-404, 2011",
"Hirte K., Ötsch W.",Ökonomische Ausrichtung und Netzwerke - das Beispiel des Sachverständigenrates.,2011,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Prokla, Nr. 3, Seite(n) 423-447, 2011",
"Ötsch W., Kapeller J.",Perpetuing the failure: Economic Education and the Current Crisis,2010,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Journal of Social Science Education, Vol. 9, Nr. 2, Seite(n) 16-25, 2010",
Nordmann J.,Protektionismus. Die Grenzen der Staatsintervention in den 1930er Jahren,2010,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in European Journal of Economics and Economic Policies: Intervention, Vol. 7, Nr. 1, Seite(n) 42-49, 2010",
"Kapeller J., Pühringer S.",The internal consistency of perfect competition,2010,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Journal of Philosophical Economics, Vol. 3, Nr. 2, Seite(n) 134-152, 2010",10.46298/jpe.10598
"Dobusch L., Kapeller J.",Diskutieren und Zitieren: Zur paradigmatischen Konstellation aktueller ökonomischer Theorie,2009,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in European Journal of Economics and Economic Policies: Intervention, Vol. 6, Nr. 2, Seite(n) 145-152, 2009",
"Ötsch W., Kapeller J.",Neokonservativer Markt-Radikalismus. Das Fallbeispiel des Iraks,2009,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Internationale Politik und Gesellschaft, Nr. 2, Seite(n) 40-55, 2009",
"Kapeller J., Huber J.",Politische Paradigmata und neoliberale Einflüsse am Beispiel von vier sozialdemokratischen Parteien in Europa.,2009,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in ÖZP - Österreichische Zeitschrift für Politikwissenschaft, Nr. 2, Seite(n) 163-192, 2009",
"Kapeller J., Hornykewycz A., Weber J., Cserjan L.",Dekarbonisierung des Gebäudesektors als Teil einer sozial-ökologischen Transformation. Ein Gestaltungsvorschlag,2024,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in ifso expertise, Vol. 25, Seite(n) 1-23, 2024",
Ötsch W.,Wert und Werte in der Ökonomik,2023,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Agora42 (Philosophisches Wirtschaftsmagazin), Nr. 02/2023, Seite(n) 9-13, 2023",
"Pühringer S., Aistleitner M., Griesebner T.",Networks of the super-rich in Austria. Evidence from an explorative case study,2022,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Materialien zu Wirtschaft und Gesellschaft, Nr. 238, 2022",
Schütz B.,"""Koste es, was es wolle"". Eine neue Ära der Ökonomie?",2021,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in economy, 2021",
"Kapeller J., Leitch S., Wildauer R.",A European wealth tax for a fair and green recovery,2021,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Renner Institut & Foundation for European Progressive Studies (FEPS), in Policy Study, 2021",
"Kapeller J., Leitch S., Wildauer R.",Is a € 10 Trillion European climate investment initiative fiscally sustainable?,2021,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Renner Institut & Foundation for European Progressive Studies (FEPS), in Policy Study, 2021",
Heimberger P.,"Keynes, die Outputlücke und Probleme mit den Fiskalregeln",2021,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Blog der Keynes-Gesellschaft, 2021",
"Gräbner C., Strunk B.",Pluralism in economics – its critiques and their lessons,2021,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Developing Economics, 2021",
"Pühringer S., Beyer K., Kronberger D.","Soziale Rhetorik, neoliberale Praxis",2021,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Beuteler Extradienst, 2021",
Kapeller J.,Ökonomische Polarisierung in Europa,2021,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Zeitschrift Bürger und Staat, Vol. 71, Nr. 4, Seite(n) 246-251, 2021",
"Porak L., Neuffer S.",Die moderne Lehrbuchwissenschaft als Zombiewissenschaft,2020,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Agora42 (Philosophisches Wirtschaftsmagazin), 2020",
Heimberger P.,Structural polarisation and path dependent development models in the EU,2020,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Blog Developing Economics, 2020",
"Heimberger P., Kapeller J.",‘Output gap nonsense’ and the EU’s fiscal rules: A response to the European Commission’s economists,2020,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Blog Institute for New Economic Thinking, 2020",
"Hirte K., Poppinga O.",Das Gemeine an der Gemeinwohldebatte,2019,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, Vol. 42, Nr. 3 (358), Seite(n) 7-9, 2019",
"Ötsch W., Pühringer S.",Was ist eine Krise? Ein Rückblick auf die Wirtschafts- und Finanzkrisen 2008 und 2010,2019,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Blickpunkt WISO, 2019",
"Pühringer S., Grimm C.",Die deutschsprachige Volkswirtschaftslehre,2018,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in beigewum.at, 2018",
Ötsch W.,Es wächst das Bewusstsein einer multiplen Krise,2018,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Agora42 (Philosophisches Wirtschaftsmagazin), 2018",
Kapeller J.,The Top Journals Club in Economics,2018,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Institute for New Economic Thinking (INET), Commentaries, 2018",
"Ötsch W., Pühringer S.",Was ist eine Krise? Wie ökonomische Theorien Wahrnehmung formen,2018,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Kurswechsel, Nr. 4/2018, Seite(n) 7-17, 2018",
"Kapeller J., Ferschli B., Schütz B., Wildauer R.",Wie viel bringt die Vermögenssteuer? Neue Aufkommensschätzungen für Österreich.,2018,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in ISW Institut für Sozial- und Wirtschaftswissenschaften, in Wirtschafts- und Sozialwissenschaftliche Zeitschrift, Vol. 40, Nr. 1, Seite(n) 146-160, 2018",
"Kapeller J., Ferschli B., Schütz B., Wildauer R.",Bestände und Konzentration privater Vermögen in Österreich,2017,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Abteilung Wirtschaftswissenschaft der AK Wien, in Materialen zu Wirtschaft und Gesellschaft, Nr. 167, 2017",
Hirte K.,Agrarische Regelungspolitik und die drei agrarpolitischen „Syndrome“,2016,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Via Campesina Austria, in Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, Vol. 39, Nr. 3 (343), Seite(n) 10-11, 2016",
Heimberger P.,"Das ""strukturelle Defizit"" in der österreichischen Budgetpolitik: Berechnungsprobleme, Revisionen und wirtschaftspolitische Relevanz",2016,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Wirtschaft und Gesellschaft, Vol. 42, Nr. 3, Seite(n) 451-464, 2016",
Ötsch W.,Die Widersprüche des Mister Perfect: Berechnung – Beherrschung – Perfektion,2016,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Agora42 (Philosophisches Wirtschaftsmagazin), Nr. 01/2017, Seite(n) 18-23, 2016",
"Heimberger P., Kapeller J.",How economic policy drives European (dis)integration,2016,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Institute for New Economic Thinking (INET), 2016",
Kapeller J.,Internationaler Freihandel: Theoretische Ausgangspunkte und empirische Folgen,2016,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Wirtschafts- und Sozialwissenschaftliche Zeitschrift, Vol. 39, Nr. 1, Seite(n) 99-122, 2016",
"Pühringer S., Stelzer-Orthofer C.",Neoliberale Think Tanks als (neue) Akteure in österreichischen gesellschafts- und sozialpolitischen Diskursen. Das Beispiel des Hayek Institut und der Agenda Austria,2016,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in SWS-Rundschau - Sozialwissenschaftliche Studiengesellschaft Rundschau, Vol. 56, Nr. 1, Seite(n) 75-96, 2016",
"Pühringer S., Stelzer-Orthofer C.",Replik zur Replik: Von Vorwürfen der Unwissenschaftlichkeit,2016,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in SWS-Rundschau - Sozialwissenschaftliche Studiengesellschaft Rundschau, Vol. 3, Seite(n) 447-449, 2016",
"Grimm C., Kapeller J.",Wahrheit und Ökonomie,2016,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Kurswechsel, Nr. 1, Seite(n) 18-29, 2016",
Heimberger P.,Warum die Volkswirtschaften der Eurozone den USA und Großbritannien seit der Finanzkrise hinterherhinken: Zur Rolle von Unterschieden in der Geld– und Fiskalpolitik,2016,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Vienna Institute for International Economic (wiiw), in Studies Research Report, Nr. 5, Wien, 2016",
Heimberger P.,"'Strukturreformen' und Lohnkürzungen in Griechenland: Erwartungen, Ergebnisse und Folgen",2015,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in ISW, in WISO - Wirtschafts- und sozialpolitische Zeitschrift, Vol. 38, Nr. 3, Seite(n) 104-121, 2015",
Kapeller J.,Allgemeine Modelltheorie und ökonomische Modelle,2015,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in EWE - Erwägen, Wissen, Ethik, Vol. 26, Nr. 3, Seite(n) 387-389, 2015",
Hirte K.,"Bezeichnende Konstellation. Zum Eröffnungstag „Agrarpolitik“ in Österreich auf dem Podium: REWE, RWA Raiffeisen und Landwirtschaftskammer",2015,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Via Campesina Austria, in Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, Vol. 38, Nr. 2 (337), Seite(n) 15, 2015",
Hirte K.,Das Ökonomie-Monopol an den Agrarfakultäten,2015,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, Vol. 38, Nr. 3 (338), Seite(n) 22-23, 2015",
Heimberger P.,"Die griechische Schuldendebatte und das Mantra von den ""notwendigen Strukturreformen""",2015,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in WISO direkt, Nr. 05, 2015",
Heimberger P.,Griechenland: Das Scheitern der europäischen Krisenpolitik,2015,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Arbeiterkammer Wien, in EU-Infobrief, Nr. 3, Seite(n) 11-15, 2015",
"Aistleitner M., Fölker M., Kapeller J., Mohr F., Pühringer S.",Verteilung und Gerechtigkeit: Philosophische  Perspektiven,2015,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Wirtschaft und Gesellschaft, Vol. 41, Nr. 1, Seite(n) 71-106, 2015",
"Kapeller J., Schütz B.",Verteilungstendenzen im Kapitalismus - Nationale und globale Perspektiven,2015,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Kurswechsel, Nr. 2/2015, Seite(n) 54-68, 2015",
"Griesser M., Sauer B.",Zwischen Konjunkturpuffer und Tauschobjekt. Gewerkschaftliche Perspektiven auf Migration im Österreich der Zweiten Republik,2015,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Kurswechsel, Nr. Heft 4, Seite(n) 58-66, 2015",
"Eckerstorfer P., Halak J., Kapeller J., Schütz B., Springholz F., Wildauer R.",Die Vermögensverteilung in Österreich und das Aufkommenspotenzial einer Vermögenssteuer,2014,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Wirtschaft und Gesellschaft, Vol. 40, Nr. 1, Seite(n) 63-81, 2014",
Hirte K.,"Landwirtschaft, Ideologien und ""...ismen""",2014,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Via Campesina Austria, in Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, Vol. 37, Nr. 2 (332), Seite(n) 14-15, 2014",
"Kapeller J., Schütz B., Tamesberger D.",Making Morality Matter: Civilized Markets and European Values.,2014,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Journal for a Progressive Economy, 2014",
Hirte K.,Deutsche Agrarpolitikprofessoren vor und nach 1945,2013,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Via Campesina Austria, in Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, Vol. 36, Nr. 2 (327), Seite(n) 18-20, 2013",
Hirte K.,Deutsche Europapolitik vor und nach 1945,2013,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, Vol. 36, Nr. 3 (328), Seite(n) 22-23, 2013",
"Kapeller J., Schütz B., Tamesberger D.",Die Regulation der Routine: Über die regulatorischen Spielräume zur Etablierung nachhaltigen Konsums,2013,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Wirtschaft und Gesellschaft, Vol. 39, Nr. 2, Seite(n) 207-231, 2013",
"Dobusch L., Kapeller J.",Diskutieren statt Ignorieren: Eckpfeiler für interessierten Pluralismus in der Ökonomie,2013,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Der öffentliche Sektor - The Public Sector, Vol. 39, Nr. 3, 2013",
"Eckerstorfer P., Halak J., Kapeller J., Schütz B., Springholz F., Wildauer R.",Reichtumsverteilung in Österreich,2013,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in WISO - Wirtschafts- und sozialpolitische Zeitschrift, Vol. 36, Nr. 4, 2013",
Pühringer S.,„Arbeitsmarktferne“ Personen – wer sind die? Zu veränderten Exklusionsdynamiken in neokapitalistischen Gesellschaften,2013,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in SWS-Rundschau - Sozialwissenschaftliche Studiengesellschaft Rundschau, Vol. 53, Nr. 4, Seite(n) 361-381, 2013",
Nordmann J.,Die intellektuelle Geschichte des Neoliberalismus im Spiegel des alten Liberalismus,2012,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in ksoe-Dossier der katholischen Erwachsenenbildung Österreich, 2012",
"Kapeller J., Schütz B., Tamesberger D.",Konsum demokratisch gestalten: Spielräume zur Etablierung nachhaltigen Konsums.,2012,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in WISO - Wirtschafts- und sozialpolitische Zeitschrift, Seite(n) 167-183, 2012",
Ötsch W.,Markt. Sichtweisen auf die Wirtschaft,2011,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in Praxis Politik, Nr. 2/2011, Seite(n) 4-8, 2011",
Hirte K.,Die Rolle der Agrarpolitik und Agrarökonomie in agrarpolitischen Diskursverläufen,2010,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in TRANS Internet-Zeitschrift für Kulturwissenschaften , Vol. 17, Nr. 2, 2010",
"Kapeller J., Huber J.",Neoklassische Sozialdemokratie und Sozialdemokratie am Beispiel des Hamburger Programms der SPD,2010,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in TRANS Internet-Zeitschrift für Kulturwissenschaften , Vol. 17, Nr. 2, 2010",
Hirte K.,"Markt als soziale Struktur - Zum Diskursszenario zur ""Märkte-Störung"" durch den Milchstreik",2009,Aufsatz / Paper in nicht-referierter Fachzeitschrift,", in arbeitsergebnisse, Nr. 62, University Press, Seite(n) 14-26, 2009",
"Griesser M., Hofmann J.",Editorial: Freie Fahrt für reiche Burschen? Schwarz-Blau ist zurück!,2018,Editorial in Fachzeitschrift,", in Kurswechsel, Nr. 3, 2018",
Porak L.,Wettbewerbsfähige Nachhaltigkeit – Die Lösung unserer Probleme?,2022,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-14, 2022",
"Griesser M., Beyer K., Pühringer S.",Für die „Leistungsträger“ und „uns Österreicher“: Eine Mediendiskursanalyse zu Sozialreformen der ÖVP/FPÖ-Regierung 2017-2019 in Österreich,2021,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, 2021",
"Hornykewycz A., Rath J.",Shaping sustainable employment relationships in the age of Digitalisation: analysing policy measures in an agent-based framework,2021,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, 2021",
"Gräbner C., Hornykewycz A., Schütz B.",The emergence of debt and secular stagnation in an unequal society: A stock-flow consistent agent-based approach,2021,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, 2021",
Porak L.,Warum müssen wir (noch immer) arbeiten? Eine hegemonietheoretische Analyse der Bedeutung und des Wertes von Lohnarbeit für den modernen Staat,2021,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, 2021",
"Hager T., Hornykewycz A., Jonjic M., Porak L., Rath J.","„Hinter jeder erfolgreichen Frau steht ein Mann, der ihr den Rücken stärkt.“",2021,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, 2021",
"Vogel L., Jühlke R., Porak L., Quinz H.",Allbetroffenheit in der Pandemie? Ein soziologischer Blick auf das Erleben der Auswirkungen der Corona-Krise,2020,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-19, 2020",
"Hager T., Heck I., Rath J.",Competition in Transformational Processes: Polanyi & Schumpeter,2020,Aufsatz / Paper in Tagungsband (referiert),", in Momentum: Momentum Kongress Paper, Seite(n) 1-25, 2020",
Porak L.,Wohin steuert die Europäische Union? Ein Klärungsversuch der strategischen Ausrichtung der EU seit Lissabon,2020,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-22, 2020",
"Aistleitner M., Grimm C., Kapeller J.","Auftragsvergabe, Leistungsqualität und Kostenintensität im Schienenpersonenverkehr",2019,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-56, 2019",
Schütz B.,Creating a pluralist paradigm: An application to the minimum wage debate,2019,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-41, 2019",
"Kapeller J., Ferschli B.",Hans Albert und die Kritik am Modell-Platonismus in den Wirtschaftswissenschaften,2019,Aufsatz / Paper in Tagungsband (referiert),", in Franco, Giuseppe: Handbuch Karl Popper, Springer Fachbuch, Heidelberg, Seite(n) 733-749, 2019",
"Gräbner C., Heimberger P., Kapeller J., Schütz B.",Desintegration in Europa? Makroökonomische Divergenz und strukturelle Polarisierung,2018,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Serie Momentum quarterly, Seite(n) 1-32, 2018",
Porak L.,Die Positionierung von Studierenden an öffentlichen Hochschulen,2018,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-18, 2018",
Pühringer S.,Politische und gesellschaftliche Wirkmächtigkeit von ÖkonomInnen-Netzwerken,2018,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-10, 2018",
"Hager T., Rath J., Wimmler L.",Work or Die? How Wage dependency determines the production process,2018,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-37, 2018",
"Ferschli B., Kapeller J., Wildauer R.",Zur Verteilung und Klassenstruktur der Österreichischen Vermögen,2018,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-55, 2018",
"Aistleitner M., Kapeller J., Steinerberger S.",Citation Patterns in Economics and Beyond: Assessing the Peculiarities of Economics from Two Scientometric Perspectives,2017,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-22, 2017",
Grimm C.,Paradigmatische Homogenität? Aktueller Status und Zukunftsperspektiven der Ökonomik in Deutschland und den USA,2017,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-16, 2017",
"Hirte K., Pühringer S.",Zur Performativität ökonomischen Wissens und aktuellen ÖkonomInnen-Netzwerken in Deutschland,2017,Aufsatz / Paper in Tagungsband (referiert),", in Maeße, Jens; Pahl, Hanno; Sparsam, Jan: Die Innenwelt der Ökonomie. Wissen, Macht und Performativität in der Wirtschaftswissenschaft, Springer VS Verlag, Wiesbaden, Seite(n) 363-390, 2017",
Pühringer S.,Agenda Austria: Diskursstrategien einer neoliberalen Reformagenda,2016,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-21, 2016",
Heimberger P.,Die Macht ökonomischer Modelle am Beispiel des »Potential Output«-Modells der Europäischen Kommission,2016,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-9, 2016",
Aistleitner M.,Perspektiven für eine nachhaltige Automobilindustrie,2016,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-27, 2016",
Grimm C.,"Postdemokratie, Machtverhältnisse und Ökonomie",2016,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-22, 2016",
"Kapeller J., Heimberger P.","Spezialisierung, Stratifikation und internationale Wirtschaft: Verteilung, Arbeitsteilung und Klassenlagen aus globaler Perspektive",2016,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-20, 2016",
Pühringer S.,Still the queens of social sciences? Economists as “public intellectuals” in/after the crisis.,2016,Aufsatz / Paper in Tagungsband (referiert),", in International Conference in Contemporary Social Sciences (Conference Proceedings): Crisis and the social sciences: New challenges and perspectives, Seite(n) 507-528, 2016",
"Aistleitner M., Fölker M., Kapeller J.",Die Macht der Wissenschaftsstatistik und die Entwicklung der Ökonomie,2015,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-21, 2015",
Pühringer S.,Kontinuitäten neoliberaler Wirtschaftspolitik. Die Austeritätsdebatte als Spiegelbild diskursiver Machtverwerfungen innerhalb der Ökonomik,2015,Aufsatz / Paper in Tagungsband (referiert),", in Marterbauer, Markus/Mesch, Michael/Rehm, Miriam/Reiterlechner, Christine: Das Scheitern des neoklassischen Paradigmas – Wirtschaftspolitik in der EU, ÖGB Verlag, Wien, Seite(n) 159-174, 2015",
Pühringer S.,Marktmetaphoriken in Krisennarrativen von Angela Merkel.,2015,Aufsatz / Paper in Tagungsband (referiert),", in Ötsch, Walter/Hirte, Katrin/Pühringer, Stephan/Bräutigam, Lars: Markt! Welcher Markt? Der interdisziplinäre Diskurs um Märkte und Marktwirtschaft., Metropolis, Marburg, Seite(n) 229-252, 2015",
Hirte K.,Märkte und die Anerkennung von Arbeit. Zum Zusammenhang schlecht bezahlter Arbeiten und der Struktur der Arbeitsergebnisse,2015,Aufsatz / Paper in Tagungsband (referiert),", in Ötsch, Walter; Hirte, Katrin; Pühringer, Stephan; Bräutigam, Lars: Markt! Welcher Markt?, Serie Kritische Studien zu Markt und Gesellschaft, Metropolis, Marburg, Seite(n) 281-322, 2015",
